,Broader,N,PUBMEDID,AUTHOR,DiseaseOrTrait,STAGE,DATE,STUDY ACCESSION,parentterm,color
1858,European,83129.0,30610198.0,Soler Artigas M,Attention deficit hyperactivity disorder or cannabis use,initial,2019-01-04,GCST006983,Biological process,#3288bd
1859,European,337199.0,30610202.0,Ruderfer DM,Suicide attempts,initial,2019-01-04,GCST006978,Biological process,#3288bd
1860,Asian,143658.0,30604766.0,Morris AP,Estimated glomerular filtration rate,initial,2019-01-03,GCST007344,Other measurement,#d53e4f
1861,European,134070.0,30604766.0,Morris AP,Estimated glomerular filtration rate,initial,2019-01-03,GCST007344,Other measurement,#3288bd
1862,African Am./Caribbean,8224.0,30604766.0,Morris AP,Estimated glomerular filtration rate,initial,2019-01-03,GCST007344,Other measurement,#fee08b
1863,Hispanic/Latin American,26344.0,30604766.0,Morris AP,Estimated glomerular filtration rate,initial,2019-01-03,GCST007344,Other measurement,#807dba
1864,African Am./Caribbean,285.0,30610941.0,Wang AW,Anti-Toxoplasma gondii IgG seropositivity,initial,2019-01-02,GCST007726,Other measurement,#fee08b
1865,European,790.0,30610941.0,Wang AW,Anti-Toxoplasma gondii IgG seropositivity,initial,2019-01-02,GCST007726,Other measurement,#3288bd
1866,European,1791.0,30582445.0,Mola-Caminal M,3-month functional outcome in ischaemic stroke (modified Rankin score),replication,2019-01-01,GCST006935,Other trait,#3288bd
1867,European,1225.0,30582445.0,Mola-Caminal M,3-month functional outcome in ischaemic stroke (modified Rankin score),initial,2019-01-01,GCST006935,Other trait,#3288bd
1868,European,1791.0,30582445.0,Mola-Caminal M,3-month functional outcome in ischaemic stroke (modified Rankin score),replication,2019-01-01,GCST006935,Other measurement,#3288bd
1869,European,1225.0,30582445.0,Mola-Caminal M,3-month functional outcome in ischaemic stroke (modified Rankin score),initial,2019-01-01,GCST006935,Other measurement,#3288bd
1870,European,426824.0,30598549.0,Morris JA,Heel bone mineral density,initial,2018-12-31,GCST006979,Other measurement,#3288bd
1871,European,731819.0,30598549.0,Morris JA,Fractures,replication,2018-12-31,GCST006980,Other disease,#3288bd
1872,European,426795.0,30598549.0,Morris JA,Fractures,initial,2018-12-31,GCST006980,Other disease,#3288bd
1873,European,155961.0,30593698.0,Hubel C,Body fat percentage,initial,2018-12-28,GCST007064,Body measurement,#3288bd
1874,European,155961.0,30593698.0,Hubel C,Fat-free mass,initial,2018-12-28,GCST007063,Other measurement,#3288bd
1875,European,2900.0,30685440.0,Silbernagel G,Low density lipoprotein triglyceride levels,initial,2018-12-28,GCST007955,Lipid or lipoprotein measurement,#3288bd
1876,European,455000.0,30595370.0,Kichaev G,Educational attainment (years of education),initial,2018-12-27,GCST007037,Other measurement,#3288bd
1887,European,665.0,30595539.0,Wallace HJ,Postburn scar pliability,initial,2018-12-27,GCST007252,Other measurement,#3288bd
1888,European,665.0,30595539.0,Wallace HJ,Postburn scar height,initial,2018-12-27,GCST007251,Other measurement,#3288bd
1889,European,422000.0,30595370.0,Kichaev G,Systolic blood pressure,initial,2018-12-27,GCST007087,Other measurement,#3288bd
1890,European,344000.0,30595370.0,Kichaev G,Sunburns,initial,2018-12-27,GCST007086,Other disease,#3288bd
1891,European,458000.0,30595370.0,Kichaev G,Smoking status,initial,2018-12-27,GCST007085,Other measurement,#3288bd
1892,European,372000.0,30595370.0,Kichaev G,Neuroticism,initial,2018-12-27,GCST007084,Other measurement,#3288bd
1893,European,410000.0,30595370.0,Kichaev G,Morning person,initial,2018-12-27,GCST007083,Other measurement,#3288bd
1894,European,452000.0,30595370.0,Kichaev G,Hair color,initial,2018-12-27,GCST007082,Other measurement,#3288bd
1895,European,372000.0,30595370.0,Kichaev G,Lung function (FVC),initial,2018-12-27,GCST007081,Other measurement,#3288bd
1896,European,370000.0,30595370.0,Kichaev G,Lung function (FEV1/FVC),initial,2018-12-27,GCST007080,Other measurement,#3288bd
1897,European,143000.0,30595370.0,Kichaev G,Age at menopause,initial,2018-12-27,GCST007079,Other measurement,#3288bd
1898,European,242000.0,30595370.0,Kichaev G,Menarche (age at onset),initial,2018-12-27,GCST007078,Other measurement,#3288bd
1899,European,459000.0,30595370.0,Kichaev G,Type 2 diabetes,initial,2018-12-27,GCST007077,Metabolic disorder,#3288bd
1900,European,459000.0,30595370.0,Kichaev G,Respiratory diseases,initial,2018-12-27,GCST007076,Other disease,#3288bd
1901,European,459000.0,30595370.0,Kichaev G,Hypothyroidism,initial,2018-12-27,GCST007073,Other disease,#3288bd
1902,European,459000.0,30595370.0,Kichaev G,Eczema,initial,2018-12-27,GCST007075,Other trait,#3288bd
1903,European,459000.0,30595370.0,Kichaev G,Cardiovascular disease,initial,2018-12-27,GCST007072,Other disease,#3288bd
1904,European,459000.0,30595370.0,Kichaev G,Autoimmune traits,initial,2018-12-27,GCST007071,Immune system disorder,#3288bd
1905,European,444000.0,30595370.0,Kichaev G,White blood cell count,initial,2018-12-27,GCST007070,Hematological measurement,#3288bd
1906,European,445000.0,30595370.0,Kichaev G,Red cell distribution width,initial,2018-12-27,GCST007074,Hematological measurement,#3288bd
1907,European,445000.0,30595370.0,Kichaev G,Red blood cell count,initial,2018-12-27,GCST007069,Hematological measurement,#3288bd
1908,European,443000.0,30595370.0,Kichaev G,Mean corpuscular hemoglobin,initial,2018-12-27,GCST007068,Hematological measurement,#3288bd
1909,European,440000.0,30595370.0,Kichaev G,Eosinophil counts,initial,2018-12-27,GCST007065,Hematological measurement,#3288bd
1910,European,458000.0,30595370.0,Kichaev G,Waist-hip ratio,initial,2018-12-27,GCST007067,Body measurement,#3288bd
1911,European,458000.0,30595370.0,Kichaev G,Height,initial,2018-12-27,GCST007841,Body measurement,#3288bd
1912,European,446000.0,30595370.0,Kichaev G,Heel bone mineral density,initial,2018-12-27,GCST007066,Other measurement,#3288bd
1913,European,458000.0,30595370.0,Kichaev G,Body mass index,initial,2018-12-27,GCST007039,Body measurement,#3288bd
1914,European,208000.0,30595370.0,Kichaev G,Balding type 1,initial,2018-12-27,GCST007038,Other measurement,#3288bd
1917,African Am./Caribbean,2201.0,30593799.0,Vergara C,Hepatitis C (spontaneous viral clearance),initial,2018-12-26,GCST007631,Other trait,#fee08b
1918,Hispanic/Latin American,486.0,30593799.0,Vergara C,Hepatitis C (spontaneous viral clearance),initial,2018-12-26,GCST007631,Other trait,#807dba
1919,European,1736.0,30593799.0,Vergara C,Hepatitis C (spontaneous viral clearance),initial,2018-12-26,GCST007631,Other trait,#3288bd
1920,African Am./Caribbean,2201.0,30593799.0,Vergara C,Hepatitis C (spontaneous viral clearance),initial,2018-12-26,GCST007631,Digestive system disorder,#fee08b
1921,Hispanic/Latin American,486.0,30593799.0,Vergara C,Hepatitis C (spontaneous viral clearance),initial,2018-12-26,GCST007631,Digestive system disorder,#807dba
1922,European,1736.0,30593799.0,Vergara C,Hepatitis C (spontaneous viral clearance),initial,2018-12-26,GCST007631,Digestive system disorder,#3288bd
1923,Hispanic/Latin American,486.0,30593799.0,Vergara C,Hepatitis C (spontaneous viral clearance),initial,2018-12-26,GCST007634,Other trait,#807dba
1924,Hispanic/Latin American,486.0,30593799.0,Vergara C,Hepatitis C (spontaneous viral clearance),initial,2018-12-26,GCST007634,Digestive system disorder,#807dba
1925,European,1736.0,30593799.0,Vergara C,Hepatitis C (spontaneous viral clearance),initial,2018-12-26,GCST007633,Other trait,#3288bd
1926,European,1736.0,30593799.0,Vergara C,Hepatitis C (spontaneous viral clearance),initial,2018-12-26,GCST007633,Digestive system disorder,#3288bd
1927,African Am./Caribbean,2201.0,30593799.0,Vergara C,Hepatitis C (spontaneous viral clearance),initial,2018-12-26,GCST007632,Other trait,#fee08b
1928,African Am./Caribbean,2201.0,30593799.0,Vergara C,Hepatitis C (spontaneous viral clearance),initial,2018-12-26,GCST007632,Digestive system disorder,#fee08b
1929,Asian,2981.0,30591961.0,Huang L,Intraocular pressure,initial,2018-12-24,GCST007998,Other measurement,#d53e4f
1930,Asian,5571.0,30591961.0,Huang L,Intraocular pressure,initial,2018-12-24,GCST007998,Other measurement,#d53e4f
1931,European,493.0,30583557.0,Loohuis LM,B6 vitamer levels (multivariate analysis),initial,2018-12-22,GCST007260,Other measurement,#3288bd
1932,European,493.0,30583557.0,Loohuis LM,Plasma pyridoxic acid to pyridoxal phosphate ratio,initial,2018-12-22,GCST007265,Other measurement,#3288bd
1933,European,493.0,30583557.0,Loohuis LM,Plasma pyridoxal phosphate to pyridoxal ratio,initial,2018-12-22,GCST007264,Other measurement,#3288bd
1934,European,493.0,30583557.0,Loohuis LM,Cerebrospinal fluid pyridoxal phosphate to pyridoxal ratio,initial,2018-12-22,GCST007263,Other measurement,#3288bd
1935,European,493.0,30583557.0,Loohuis LM,Plasma pyridoxal phosphate levels,initial,2018-12-22,GCST007262,Other measurement,#3288bd
1936,European,493.0,30583557.0,Loohuis LM,Cerebrospinal fluid pyridoxal phosphate levels,initial,2018-12-22,GCST007261,Other measurement,#3288bd
1937,European,223805.0,30583798.0,Bovijn J,Erectile dysfunction,initial,2018-12-21,GCST006956,Other disease,#3288bd
1939,Other/Mixed,2695.0,30578418.0,Giri A,Pulse pressure,initial,2018-12-21,GCST007272,Cardiovascular measurement,#99d594
1940,Asian,4792.0,30578418.0,Giri A,Pulse pressure,initial,2018-12-21,GCST007272,Cardiovascular measurement,#d53e4f
1941,Hispanic/Latin American,22802.0,30578418.0,Giri A,Pulse pressure,initial,2018-12-21,GCST007272,Cardiovascular measurement,#807dba
1942,African,63490.0,30578418.0,Giri A,Pulse pressure,initial,2018-12-21,GCST007272,Cardiovascular measurement,#fc8d59
1943,European,225112.0,30578418.0,Giri A,Pulse pressure,initial,2018-12-21,GCST007272,Cardiovascular measurement,#3288bd
1945,Other/Mixed,2695.0,30578418.0,Giri A,Diastolic blood pressure,initial,2018-12-21,GCST007271,Other measurement,#99d594
1946,Asian,4792.0,30578418.0,Giri A,Diastolic blood pressure,initial,2018-12-21,GCST007271,Other measurement,#d53e4f
1947,Hispanic/Latin American,22802.0,30578418.0,Giri A,Diastolic blood pressure,initial,2018-12-21,GCST007271,Other measurement,#807dba
1948,European,225112.0,30578418.0,Giri A,Diastolic blood pressure,initial,2018-12-21,GCST007271,Other measurement,#3288bd
1949,African,63490.0,30578418.0,Giri A,Diastolic blood pressure,initial,2018-12-21,GCST007271,Other measurement,#fc8d59
1950,Asian,4792.0,30578418.0,Giri A,Systolic blood pressure,initial,2018-12-21,GCST007270,Other measurement,#d53e4f
1951,Hispanic/Latin American,22802.0,30578418.0,Giri A,Systolic blood pressure,initial,2018-12-21,GCST007270,Other measurement,#807dba
1952,African,63490.0,30578418.0,Giri A,Systolic blood pressure,initial,2018-12-21,GCST007270,Other measurement,#fc8d59
1953,European,225112.0,30578418.0,Giri A,Systolic blood pressure,initial,2018-12-21,GCST007270,Other measurement,#3288bd
1954,Other/Mixed,2695.0,30578418.0,Giri A,Systolic blood pressure,initial,2018-12-21,GCST007270,Other measurement,#99d594
1956,African,63490.0,30578418.0,Giri A,Pulse pressure,initial,2018-12-21,GCST007269,Cardiovascular measurement,#fc8d59
1958,European,299024.0,30578418.0,Giri A,Pulse pressure,replication,2018-12-21,GCST007269,Cardiovascular measurement,#3288bd
1959,Other/Mixed,2695.0,30578418.0,Giri A,Pulse pressure,initial,2018-12-21,GCST007269,Cardiovascular measurement,#99d594
1960,Asian,4792.0,30578418.0,Giri A,Pulse pressure,initial,2018-12-21,GCST007269,Cardiovascular measurement,#d53e4f
1961,Hispanic/Latin American,22802.0,30578418.0,Giri A,Pulse pressure,initial,2018-12-21,GCST007269,Cardiovascular measurement,#807dba
1962,European,365998.0,30578418.0,Giri A,Pulse pressure,initial,2018-12-21,GCST007269,Cardiovascular measurement,#3288bd
1963,African,63490.0,30578418.0,Giri A,Diastolic blood pressure,initial,2018-12-21,GCST007268,Other measurement,#fc8d59
1965,European,299024.0,30578418.0,Giri A,Diastolic blood pressure,replication,2018-12-21,GCST007268,Other measurement,#3288bd
1966,Other/Mixed,2695.0,30578418.0,Giri A,Diastolic blood pressure,initial,2018-12-21,GCST007268,Other measurement,#99d594
1967,Asian,4792.0,30578418.0,Giri A,Diastolic blood pressure,initial,2018-12-21,GCST007268,Other measurement,#d53e4f
1968,Hispanic/Latin American,22802.0,30578418.0,Giri A,Diastolic blood pressure,initial,2018-12-21,GCST007268,Other measurement,#807dba
1969,European,365998.0,30578418.0,Giri A,Diastolic blood pressure,initial,2018-12-21,GCST007268,Other measurement,#3288bd
1971,European,299024.0,30578418.0,Giri A,Systolic blood pressure,replication,2018-12-21,GCST007267,Other measurement,#3288bd
1972,Other/Mixed,2695.0,30578418.0,Giri A,Systolic blood pressure,initial,2018-12-21,GCST007267,Other measurement,#99d594
1973,Asian,4792.0,30578418.0,Giri A,Systolic blood pressure,initial,2018-12-21,GCST007267,Other measurement,#d53e4f
1974,Hispanic/Latin American,22802.0,30578418.0,Giri A,Systolic blood pressure,initial,2018-12-21,GCST007267,Other measurement,#807dba
1975,African,63490.0,30578418.0,Giri A,Systolic blood pressure,initial,2018-12-21,GCST007267,Other measurement,#fc8d59
1976,European,365998.0,30578418.0,Giri A,Systolic blood pressure,initial,2018-12-21,GCST007267,Other measurement,#3288bd
1977,European,205327.0,30573740.0,Yap CX,Male-pattern baldness,initial,2018-12-20,GCST007020,Other measurement,#3288bd
1978,European,31382.0,30573655.0,Acosta-Herrera M,Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies),initial,2018-12-20,GCST007278,Neurological disorder,#3288bd
1979,European,31382.0,30573655.0,Acosta-Herrera M,Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies),initial,2018-12-20,GCST007278,Immune system disorder,#3288bd
1980,European,31382.0,30573655.0,Acosta-Herrera M,Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies),initial,2018-12-20,GCST007278,Immune system disorder,#3288bd
1981,European,31382.0,30573655.0,Acosta-Herrera M,Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies),initial,2018-12-20,GCST007278,Immune system disorder,#3288bd
1982,European,54543.0,30578877.0,Dahlin A,Adult asthma,initial,2018-12-19,GCST007596,Other disease,#3288bd
1983,European,26475.0,30578877.0,Dahlin A,Adult asthma,replication,2018-12-19,GCST007596,Other disease,#3288bd
1984,Asian,4634.0,30566433.0,Taira M,Type 2 diabetes nephropathy including microalbuminuria,replication,2018-12-19,GCST007022,Other trait,#d53e4f
1985,Asian,8401.0,30566433.0,Taira M,Type 2 diabetes nephropathy including microalbuminuria,initial,2018-12-19,GCST007022,Other trait,#d53e4f
1986,Asian,4634.0,30566433.0,Taira M,Type 2 diabetes nephropathy including microalbuminuria,replication,2018-12-19,GCST007022,Metabolic disorder,#d53e4f
1987,Asian,8401.0,30566433.0,Taira M,Type 2 diabetes nephropathy including microalbuminuria,initial,2018-12-19,GCST007022,Metabolic disorder,#d53e4f
1988,Hispanic/Latin American,5327.0,30578877.0,Dahlin A,Adult asthma,initial,2018-12-19,GCST007597,Other disease,#807dba
1989,European,26475.0,30578877.0,Dahlin A,Adult asthma,replication,2018-12-19,GCST007597,Other disease,#3288bd
1990,European,26475.0,30578877.0,Dahlin A,Adult asthma,replication,2018-12-19,GCST007598,Other disease,#3288bd
1991,Asian,6227.0,30578877.0,Dahlin A,Adult asthma,initial,2018-12-19,GCST007598,Other disease,#d53e4f
1992,European,26475.0,30578877.0,Dahlin A,Adult asthma,replication,2018-12-19,GCST007599,Other disease,#3288bd
1993,African Am./Caribbean,2526.0,30578877.0,Dahlin A,Adult asthma,initial,2018-12-19,GCST007599,Other disease,#fee08b
1994,European,113238.0,30566500.0,Day F,Polycystic ovary syndrome,initial,2018-12-19,GCST007089,Other disease,#3288bd
1995,Asian,8401.0,30566433.0,Taira M,Type 2 diabetes nephropathy,initial,2018-12-19,GCST007021,Metabolic disorder,#d53e4f
1996,Asian,4634.0,30566433.0,Taira M,Type 2 diabetes nephropathy,replication,2018-12-19,GCST007021,Metabolic disorder,#d53e4f
1997,European,3186.0,30631343.0,Rolfe S,Normal facial asymmetry (angle of surface orientation score),initial,2018-12-18,GCST007448,Other measurement,#3288bd
1998,European,3186.0,30631343.0,Rolfe S,Normal facial asymmetry (deformation magnitude),initial,2018-12-18,GCST007450,Other measurement,#3288bd
1999,European,1688.0,30563984.0,Hawi Z,Attention deficit hyperactivity disorder,initial,2018-12-18,GCST006916,Neurological disorder,#3288bd
2000,Asian,408.0,30662464.0,Yang C,Nucleoside diphosphate kinase A levels in hepatocellular carcinoma,initial,2018-12-18,GCST008104,Cancer,#d53e4f
2001,Asian,408.0,30662464.0,Yang C,Nucleoside diphosphate kinase A levels in hepatocellular carcinoma,initial,2018-12-18,GCST008104,Other measurement,#d53e4f
2002,European,3186.0,30631343.0,Rolfe S,Normal facial asymmetry (angle of deformation score),initial,2018-12-18,GCST007449,Other measurement,#3288bd
2003,Asian,18173.0,30557369.0,Yodsurang V,Ovarian cancer,initial,2018-12-17,GCST007239,Cancer,#d53e4f
2007,European,520.0,30556296.0,Alblooshi H,Substance use disorder,replication,2018-12-16,GCST007700,Neurological disorder,#3288bd
2008,Other/Mixed,502.0,30556296.0,Alblooshi H,Substance use disorder,initial,2018-12-16,GCST007700,Neurological disorder,#99d594
2009,European,157.0,30552317.0,Guo W,Response to ketamine in bipolar disorder or major depression (antidepressant effects),initial,2018-12-14,GCST007316,Neurological disorder,#3288bd
2010,European,157.0,30552317.0,Guo W,Response to ketamine in bipolar disorder or major depression (antidepressant effects),initial,2018-12-14,GCST007316,Other measurement,#3288bd
2011,European,157.0,30552317.0,Guo W,Response to ketamine in bipolar disorder or major depression (antidepressant effects),initial,2018-12-14,GCST007316,Response to drug,#3288bd
2012,European,157.0,30552317.0,Guo W,Response to ketamine in bipolar disorder or major depression (antidepressant effects),initial,2018-12-14,GCST007316,Neurological disorder,#3288bd
2014,European,2198.0,30552173.0,Aterido A,Psoriatic arthritis,initial,2018-12-14,GCST007043,Immune system disorder,#3288bd
2015,Asian,676.0,30552108.0,Kawabata Y,Fulminant type 1 diabetes,initial,2018-12-14,GCST007433,Metabolic disorder,#d53e4f
2016,European,90.0,30552317.0,Guo W,Response to ketamine in bipolar disorder or major depression (dissociation effects),initial,2018-12-14,GCST007317,Neurological disorder,#3288bd
2017,European,90.0,30552317.0,Guo W,Response to ketamine in bipolar disorder or major depression (dissociation effects),initial,2018-12-14,GCST007317,Response to drug,#3288bd
2018,European,90.0,30552317.0,Guo W,Response to ketamine in bipolar disorder or major depression (dissociation effects),initial,2018-12-14,GCST007317,Other measurement,#3288bd
2019,European,90.0,30552317.0,Guo W,Response to ketamine in bipolar disorder or major depression (dissociation effects),initial,2018-12-14,GCST007317,Neurological disorder,#3288bd
2020,European,21536.0,30541042.0,Walsh N,Pancreatic ductal adenocarcinoma,initial,2018-12-12,GCST007235,Cancer,#3288bd
2021,European,26722.0,30542056.0,Petridis C,Acne (severe),initial,2018-12-12,GCST007234,Other disease,#3288bd
2022,European,30810.0,30552067.0,Shrine N,Asthma (moderate or severe),initial,2018-12-11,GCST006911,Other disease,#3288bd
2023,European,26885.0,30552067.0,Shrine N,Asthma (moderate or severe),replication,2018-12-11,GCST006911,Other disease,#3288bd
2024,European,299651.0,30531825.0,Morgan MD,Red vs. brown/black hair color,initial,2018-12-10,GCST006986,Other trait,#3288bd
2025,European,91105.0,30531941.0,Doherty A,Physical activity (overall physical activity time),initial,2018-12-10,GCST006912,Other measurement,#3288bd
2026,European,91105.0,30531941.0,Doherty A,Physical activity (moderate intensity activity duration),initial,2018-12-10,GCST006915,Other measurement,#3288bd
2027,European,91105.0,30531941.0,Doherty A,Physical activity (walking duration),initial,2018-12-10,GCST007110,Other measurement,#3288bd
2028,European,91105.0,30531941.0,Doherty A,Sedentary behaviour duration,initial,2018-12-10,GCST006913,Other measurement,#3288bd
2029,European,91105.0,30531941.0,Doherty A,Sleep duration,initial,2018-12-10,GCST006914,Other measurement,#3288bd
2030,European,27926.0,30531953.0,International League Against Epilepsy Consortium on Complex Epilepsies,Generalized epilepsy,initial,2018-12-10,GCST007353,Neurological disorder,#3288bd
2031,Asian,2875.0,30531953.0,International League Against Epilepsy Consortium on Complex Epilepsies,Generalized epilepsy,initial,2018-12-10,GCST007353,Neurological disorder,#d53e4f
2032,African Am./Caribbean,2645.0,30531953.0,International League Against Epilepsy Consortium on Complex Epilepsies,Generalized epilepsy,initial,2018-12-10,GCST007353,Neurological disorder,#fee08b
2033,European,33313.0,30531953.0,International League Against Epilepsy Consortium on Complex Epilepsies,Focal epilepsy,initial,2018-12-10,GCST007352,Neurological disorder,#3288bd
2034,Asian,3365.0,30531953.0,International League Against Epilepsy Consortium on Complex Epilepsies,Focal epilepsy,initial,2018-12-10,GCST007352,Neurological disorder,#d53e4f
2035,African Am./Caribbean,2670.0,30531953.0,International League Against Epilepsy Consortium on Complex Epilepsies,Focal epilepsy,initial,2018-12-10,GCST007352,Neurological disorder,#fee08b
2036,European,26969.0,30531953.0,International League Against Epilepsy Consortium on Complex Epilepsies,Focal epilepsy (with lesion other than hippocampal sclerosis),initial,2018-12-10,GCST007351,Neurological disorder,#3288bd
2037,European,24927.0,30531953.0,International League Against Epilepsy Consortium on Complex Epilepsies,Focal epilepsy (with hippocampal sclerosis),initial,2018-12-10,GCST007350,Neurological disorder,#3288bd
2038,European,26878.0,30531953.0,International League Against Epilepsy Consortium on Complex Epilepsies,Focal epilepsy (lesion negative),initial,2018-12-10,GCST007349,Neurological disorder,#3288bd
2039,European,24443.0,30531953.0,International League Against Epilepsy Consortium on Complex Epilepsies,"Epilepsy (generalized, with tonic-clonic seizures alone)",initial,2018-12-10,GCST007348,Neurological disorder,#3288bd
2040,European,25395.0,30531953.0,International League Against Epilepsy Consortium on Complex Epilepsies,Juvenile myoclonic epilepsy,initial,2018-12-10,GCST007347,Neurological disorder,#3288bd
2041,European,24633.0,30531953.0,International League Against Epilepsy Consortium on Complex Epilepsies,Juvenile absence epilepsy,initial,2018-12-10,GCST007346,Neurological disorder,#3288bd
2042,European,24996.0,30531953.0,International League Against Epilepsy Consortium on Complex Epilepsies,Childhood absence epilepsy,initial,2018-12-10,GCST007345,Neurological disorder,#3288bd
2043,European,283920.0,30531825.0,Morgan MD,Brown vs. black hair color,initial,2018-12-10,GCST006989,Other trait,#3288bd
2044,European,323317.0,30531825.0,Morgan MD,Blond vs. brown/black hair color,initial,2018-12-10,GCST006988,Other trait,#3288bd
2045,European,38752.0,30531953.0,International League Against Epilepsy Consortium on Complex Epilepsies,Epilepsy,initial,2018-12-10,GCST007343,Neurological disorder,#3288bd
2046,Asian,3406.0,30531953.0,International League Against Epilepsy Consortium on Complex Epilepsies,Epilepsy,initial,2018-12-10,GCST007343,Neurological disorder,#d53e4f
2047,African Am./Caribbean,2731.0,30531953.0,International League Against Epilepsy Consortium on Complex Epilepsies,Epilepsy,initial,2018-12-10,GCST007343,Neurological disorder,#fee08b
2048,European,8609.0,30535121.0,Gao XR,Macular thickness,replication,2018-12-07,GCST006976,Other measurement,#3288bd
2049,European,59814.0,30535121.0,Gao XR,Macular thickness,initial,2018-12-07,GCST006976,Other measurement,#3288bd
2050,European,346.0,30531935.0,Crowley JJ,Fragile X syndrome,initial,2018-12-07,GCST007233,Metabolic disorder,#3288bd
2052,Asian,70506.0,30529582.0,Lu Y,Colorectal cancer,initial,2018-12-06,GCST007552,Cancer,#d53e4f
2053,European,11744.0,30527956.0,Rhodes CJ,Pulmonary arterial hypertension,initial,2018-12-05,GCST007228,Cardiovascular disease,#3288bd
2054,European,342.0,30563176.0,Westermair AL,Severe depressive disorders in coronary artery disease,initial,2018-12-05,GCST007230,Neurological disorder,#3288bd
2055,European,342.0,30563176.0,Westermair AL,Severe depressive disorders in coronary artery disease,initial,2018-12-05,GCST007230,Cardiovascular disease,#3288bd
2056,European,4554.0,30514930.0,Mukherjee S,Alzheimer's disease with memory domain impairment,initial,2018-12-04,GCST007330,Neurological disorder,#3288bd
2057,European,4554.0,30514930.0,Mukherjee S,Alzheimer's disease with memory domain impairment,initial,2018-12-04,GCST007330,Other trait,#3288bd
2058,European,5878.0,30514930.0,Mukherjee S,Alzheimer's disease,initial,2018-12-04,GCST007331,Neurological disorder,#3288bd
2059,European,5031.0,30514930.0,Mukherjee S,Alzheimer's disease with no specific cognitive domain impairment,initial,2018-12-04,GCST007333,Neurological disorder,#3288bd
2060,European,3695.0,30514930.0,Mukherjee S,Alzheimer's disease with multiple cognitive domain impairments,initial,2018-12-04,GCST007332,Other trait,#3288bd
2061,European,3695.0,30514930.0,Mukherjee S,Alzheimer's disease with multiple cognitive domain impairments,initial,2018-12-04,GCST007332,Neurological disorder,#3288bd
2062,European,3944.0,30514930.0,Mukherjee S,Alzheimer's disease with visuospatial domain impairment,initial,2018-12-04,GCST007318,Neurological disorder,#3288bd
2063,European,3944.0,30514930.0,Mukherjee S,Alzheimer's disease with visuospatial domain impairment,initial,2018-12-04,GCST007318,Neurological disorder,#3288bd
2064,European,3957.0,30514930.0,Mukherjee S,Alzheimer's disease with language domain impairment,initial,2018-12-04,GCST007334,Neurological disorder,#3288bd
2065,European,3957.0,30514930.0,Mukherjee S,Alzheimer's disease with language domain impairment,initial,2018-12-04,GCST007334,Neurological disorder,#3288bd
2066,European,120184.0,30510241.0,Huyghe JR,Colorectal cancer or advanced adenoma,initial,2018-12-03,GCST007856,Cancer,#3288bd
2067,Asian,5294.0,30510241.0,Huyghe JR,Colorectal cancer or advanced adenoma,initial,2018-12-03,GCST007856,Cancer,#d53e4f
2068,European,120184.0,30510241.0,Huyghe JR,Colorectal cancer or advanced adenoma,initial,2018-12-03,GCST007856,Cancer,#3288bd
2069,Asian,5294.0,30510241.0,Huyghe JR,Colorectal cancer or advanced adenoma,initial,2018-12-03,GCST007856,Cancer,#d53e4f
2070,European,48434.0,30510157.0,Franceschini N,Carotid plaque,initial,2018-12-03,GCST007435,Cardiovascular disease,#3288bd
2071,European,71128.0,30510157.0,Franceschini N,Carotid intima media thickness,initial,2018-12-03,GCST007436,Cardiovascular measurement,#3288bd
2072,Asian,1143.0,30511388.0,Yan W,Developmental dysplasia of the hip,replication,2018-12-03,GCST007699,Other disease,#d53e4f
2073,Asian,886.0,30511388.0,Yan W,Developmental dysplasia of the hip,initial,2018-12-03,GCST007699,Other disease,#d53e4f
2074,Hispanic/Latin American,1521.0,30510082.0,Qian M,Acute lymphoblastic leukemia (B-cell precursor),initial,2018-12-03,GCST007276,Cancer,#807dba
2075,Hispanic/Latin American,585.0,30510082.0,Qian M,Acute lymphoblastic leukemia (B-cell precursor),replication,2018-12-03,GCST007276,Cancer,#807dba
2076,European,4367.0,30510082.0,Qian M,Acute lymphoblastic leukemia (B-cell precursor),replication,2018-12-03,GCST007276,Cancer,#3288bd
2077,African Am./Caribbean,1607.0,30510082.0,Qian M,Acute lymphoblastic leukemia (B-cell precursor),replication,2018-12-03,GCST007276,Cancer,#fee08b
2078,African Am./Caribbean,130.0,30578281.0,Williams LM,Alloimmunization response to red blood cell transfusion in sickle cell anemia,replication,2018-12-01,GCST007210,Neurological disorder,#fee08b
2079,African Am./Caribbean,267.0,30578281.0,Williams LM,Alloimmunization response to red blood cell transfusion in sickle cell anemia,initial,2018-12-01,GCST007210,Neurological disorder,#fee08b
2080,African Am./Caribbean,130.0,30578281.0,Williams LM,Alloimmunization response to red blood cell transfusion in sickle cell anemia,replication,2018-12-01,GCST007210,Biological process,#fee08b
