STUDY ACCESSION,Cleaned_Ancestry,Cleaned_Ancestry_Size
GCST006416,European,521
GCST006416,European,3577
GCST006417,Swedish,3126
GCST006403,European,5461
GCST006403,European,2726
GCST006403,European,6563
GCST006403,European,4020
GCST006836,European,191
GCST006836,European,639
GCST006309,European,1086
GCST006309,European,559
GCST007117,French Canadian,3487
GCST007117,French Canadian,1806
GCST007116,French Canadian,3487
GCST007116,French Canadian,1806
GCST007115,French Canadian,3487
GCST007115,French Canadian,1806
GCST007114,French Canadian,3487
GCST007114,French Canadian,1806
GCST006310,European,1086
GCST006310,European,559
GCST006415,European,638
GCST006415,European,178
GCST006278,East Asian,24
GCST006278,East Asian,423
GCST006407,European,6136
GCST006276,European,130
GCST006276,European,367
GCST006481,European,60552
GCST006481,African,8429
GCST006481,Korean,9959
GCST006481,Hispanic,11775
GCST006483,European,60552
GCST006483,African,8429
GCST006483,Korean,9959
GCST006483,Hispanic,11775
GCST006414,European,60620
GCST006414,European,970216
GCST006482,European,60552
GCST006482,African,8429
GCST006482,Korean,9959
GCST006482,Hispanic,11775
GCST006277,Japanese,361
GCST006277,Japanese,73
GCST006856,Taiwanese,344
GCST006868,European,21147
GCST006868,European,434460
GCST006355,French,15
GCST006354,French,508
GCST006353,French,935
GCST006352,French,912
GCST006351,French,885
GCST006350,French,777
GCST006349,French,559
GCST006363,French,175
GCST006348,French,931
GCST006347,French,208
GCST006346,French,645
GCST006345,French,91
GCST006362,French,956
GCST006361,French,914
GCST006344,French,347
GCST006358,French,1000
GCST006360,French,1000
GCST006359,French,1000
GCST006357,French,1000
GCST006343,French,15
GCST006343,French,985
GCST006356,French,508
GCST006356,French,492
GCST006342,French,935
GCST006342,French,65
GCST006341,French,912
GCST006341,French,88
GCST006340,French,885
GCST006340,French,115
GCST006339,French,777
GCST006339,French,223
GCST006338,French,559
GCST006338,French,441
GCST006337,French,175
GCST006337,French,825
GCST006336,French,931
GCST006336,French,69
GCST006335,French,208
GCST006335,French,792
GCST006334,French,645
GCST006334,French,355
GCST006330,French,91
GCST006330,French,909
GCST006333,French,956
GCST006333,French,44
GCST006332,French,914
GCST006332,French,86
GCST006395,European,11018
GCST006395,European,126068
GCST006331,French,347
GCST006331,French,653
GCST006394,European,133492
GCST006867,European,61714
GCST006867,Pakistani,1178
GCST006867,European,593952
GCST006867,Pakistani,2472
GCST006433,European,394929
GCST006473,European,8372
GCST007045,European,92340
GCST006442,European,1131881
GCST006568,European,811539
GCST006574,European,430445
GCST006569,European,670471
GCST006573,European,564698
GCST006570,European,402382
GCST006572,European,257841
GCST006571,European,1311438
GCST006275,European,131
GCST006275,German,2609
GCST006272,European,105
GCST006272,European,386
GCST006271,European,68
GCST006271,European,386
GCST007104,European,77898
GCST007104,African American,7695
GCST007105,African American,7695
GCST007103,European,77898
GCST006428,European,52
GCST006428,European,680
GCST006429,European,79
GCST006429,European,654
GCST006270,European,38
GCST006270,European,113
GCST006474,European,2028
GCST006474,European,9606
GCST006408,European,8040
GCST006408,European,16441
GCST006286,European,243
GCST006246,Japanese,224
GCST006246,Japanese,412
GCST006409,European,59762
GCST006409,European,152358
GCST006386,European,24953
GCST006405,British,3968
GCST006405,British,11698
GCST006388,European,91114
GCST006267,Taiwanese,257
GCST006267,Taiwanese,164
GCST006266,Taiwanese,139
GCST006266,Taiwanese,282
GCST006364,Korean,100
GCST006364,Korean,100
GCST006274,Finnish,204
GCST006273,Finnish,204
GCST006923,European,80134
GCST006923,European,364890
GCST006256,Chinese,1522
GCST006924,European,487647
GCST006413,European,49
GCST006413,European,15028
GCST006413,European,259
GCST006413,European,13263
GCST006255,Chinese,1623
GCST006254,Chinese,1623
GCST006253,Chinese,1621
GCST006922,European,66259
GCST006922,European,386043
GCST006921,European,124047
GCST006921,European,328255
GCST006920,European,135060
GCST006920,European,317242
GCST006919,European,64505
GCST006919,European,238062
GCST006918,European,2426
GCST006918,European,286524
GCST006260,Korean,96
GCST006260,Korean,685
GCST006257,Chinese,76
GCST006257,Chinese,435
GCST006406,African American,2589
GCST006406,European,2284
GCST006369,Korean,8832
GCST006809,Korean,296
GCST006809,Korean,1000
GCST006279,European,59
GCST006279,European,101
GCST006279,European,49
GCST006939,Korean,100
GCST006684,European,8425
GCST006477,European,688809
GCST006137,Han Chinese,1999
GCST006250,European,269867
GCST006476,European,449484
GCST006478,European,348219
GCST006475,European,357957
GCST007422,European,456426
GCST007421,European,504130
GCST006144,European,96
GCST006144,European,96
GCST006312,European,6922
GCST006312,European,10115
GCST006200,Japanese,72
GCST006200,Japanese,1148
GCST006199,Japanese,41
GCST006199,Japanese,1179
GCST006215,Japanese,43
GCST006215,Japanese,1172
GCST006214,Japanese,81
GCST006214,Japanese,1139
GCST006213,Japanese,6
GCST006213,Japanese,1214
GCST006212,Japanese,39
GCST006212,Japanese,1181
GCST006211,Japanese,14
GCST006211,Japanese,1206
GCST006210,Japanese,93
GCST006210,Japanese,1127
GCST006209,Japanese,10
GCST006209,Japanese,1210
GCST006208,Japanese,18
GCST006208,Japanese,1202
GCST006207,Japanese,41
GCST006207,Japanese,1179
GCST006206,Japanese,81
GCST006206,Japanese,1139
GCST006205,Japanese,43
GCST006205,Japanese,1172
GCST006204,Japanese,72
GCST006204,Japanese,1148
GCST006107,Korean,5643
GCST006109,Korean,5643
GCST006110,Korean,5643
GCST006105,Korean,5643
GCST006106,Korean,5643
GCST006088,European,367
GCST006088,European,31563
GCST006087,European,775
GCST006087,European,31563
GCST006202,Japanese,196
GCST006202,Japanese,1024
GCST006086,European,1993
GCST006086,European,33960
GCST006108,Korean,5643
GCST006201,Japanese,196
GCST006201,Japanese,1024
GCST006139,European,228
GCST006171,European,56705
GCST006171,African American or Afro Caribbean,9725
GCST006171,Asian,1789
GCST006171,Hispanic or Latin American,4812
GCST006166,European,63607
GCST006166,African American or Afro Caribbean,10193
GCST006166,Asian,2441
GCST006166,Hispanic or Latin American,5084
GCST006166,European,27492
GCST006166,African American or Afro Caribbean,11223
GCST006166,Asian,9924
GCST006166,Hispanic or Latin American,3387
GCST006172,European,56705
GCST006172,African American or Afro Caribbean,9725
GCST006172,Asian,1789
GCST006172,Hispanic or Latin American,4812
GCST006167,European,91110
GCST006167,African American or Afro Caribbean,21416
GCST006167,Asian,12365
GCST006167,Hispanic or Latin American,8470
GCST006168,European,91099
GCST006168,African American or Afro Caribbean,21416
GCST006168,Asian,12365
GCST006168,Hispanic or Latin American,8470
GCST006170,European,12758
GCST006170,African American or Afro Caribbean,1326
GCST006170,Asian,648
GCST006170,Hispanic or Latin American,364
GCST006170,European,43947
GCST006170,African American or Afro Caribbean,8239
GCST006170,Asian,1141
GCST006170,Hispanic or Latin American,4448
GCST006434,European,63608
GCST006434,African American or Afro Caribbean,10193
GCST006434,Asian,2441
GCST006434,Hispanic or Latin American,5084
GCST006434,European,27494
GCST006434,African American or Afro Caribbean,11224
GCST006434,Asian,9924
GCST006434,Hispanic or Latin American,3387
GCST006140,European,166
GCST006169,European,12758
GCST006169,African American or Afro Caribbean,1326
GCST006169,Asian,648
GCST006169,Hispanic or Latin American,364
GCST006169,European,43947
GCST006169,African American or Afro Caribbean,8239
GCST006169,Asian,1141
GCST006169,Hispanic or Latin American,4448
GCST006131,European,36948
GCST006131,European,30864
GCST006252,European,244
GCST006252,European,2552
GCST006252,African,56
GCST006252,African,454
GCST006252,Maghrebian,85
GCST006252,Maghrebian,261
GCST006218,Finnish,86
GCST006218,Finnish,50
GCST006218,Finnish,817
GCST006218,Finnish,991
GCST006226,Finnish,136
GCST006226,Finnish,1011
GCST006411,European,57
GCST006411,European,448
GCST006099,European,91084
GCST006100,European,124842
GCST006100,European,225650
GCST006098,European,98060
GCST006098,European,162995
GCST006097,European,377234
GCST006079,European,90667
GCST006929,Alaskan,2
GCST006929,Asian,18
GCST006929,African American,20
GCST006929,Native Hawaiian,1
GCST006929,European,86
GCST006929,Alaskan,2
GCST006929,Asian,10
GCST006929,African American,17
GCST006929,Native Hawaiian,1
GCST006929,European,106
GCST006096,Japanese,3815
GCST006096,Japanese,7438
GCST006934,Alaskan,2
GCST006934,Asian,18
GCST006934,African American,20
GCST006934,Native Hawaiian,1
GCST006934,European,86
GCST006934,Alaskan,2
GCST006934,Asian,10
GCST006934,African American,17
GCST006934,Native Hawaiian,1
GCST006934,European,106
GCST006090,Japanese,1245
GCST006090,Japanese,3293
GCST006095,Japanese,3830
GCST006095,Japanese,7414
GCST006094,Japanese,2532
GCST006094,Japanese,2346
GCST006093,Japanese,1153
GCST006093,Japanese,2788
GCST006092,Japanese,2069
GCST006092,Japanese,3545
GCST006091,Japanese,7148
GCST006091,Japanese,4034
GCST006933,Alaskan,2
GCST006933,Asian,18
GCST006933,African American,20
GCST006933,Native Hawaiian,1
GCST006933,European,86
GCST006933,Alaskan,2
GCST006933,Asian,10
GCST006933,African American,17
GCST006933,Native Hawaiian,1
GCST006933,European,106
GCST006932,Alaskan,2
GCST006932,Asian,18
GCST006932,African American,20
GCST006932,Native Hawaiian,1
GCST006932,European,86
GCST006932,Alaskan,2
GCST006932,Asian,10
GCST006932,African American,17
GCST006932,Native Hawaiian,1
GCST006932,European,106
GCST006928,Alaskan,2
GCST006928,Asian,18
GCST006928,African American,20
GCST006928,Native Hawaiian,1
GCST006928,European,86
GCST006928,Alaskan,2
GCST006928,Asian,10
GCST006928,African American,17
GCST006928,Native Hawaiian,1
GCST006928,European,106
GCST006931,Alaskan,2
GCST006931,Asian,18
GCST006931,African American,20
GCST006931,Native Hawaiian,1
GCST006931,European,86
GCST006931,Alaskan,2
GCST006931,Asian,10
GCST006931,African American,17
GCST006931,Native Hawaiian,1
GCST006931,European,106
GCST006930,Alaskan,2
GCST006930,Asian,18
GCST006930,African American,20
GCST006930,Native Hawaiian,1
GCST006930,European,86
GCST006930,Alaskan,2
GCST006930,Asian,10
GCST006930,African American,17
GCST006930,Native Hawaiian,1
GCST006930,European,106
GCST006061,European,55114
GCST006061,European,482295
GCST006061,Japanese,8180
GCST006061,Japanese,28612
GCST006061,African American,1307
GCST006061,African American,7660
GCST006061,Hispanic,845
GCST006061,Hispanic,4177
GCST006065,European,10523
GCST006065,European,203579
GCST006065,Hispanic,411
GCST006065,Hispanic,4778
GCST006065,East Asian,463
GCST006065,East Asian,4907
GCST006065,African American,298
GCST006065,African American,1549
GCST006065,South Asian,204
GCST006065,South Asian,4916
GCST006065,African British,272
GCST006065,African British,4831
GCST006085,European,79148
GCST006085,European,61106
GCST006917,German,243
GCST006917,German,1285
GCST006067,European,6687
GCST006067,European,155514
GCST006067,South Asian,204
GCST006067,South Asian,4916
GCST006067,African British,272
GCST006067,African British,4831
GCST006067,East Asian,22
GCST006067,East Asian,873
GCST006066,European,3836
GCST006066,European,48065
GCST006066,Hispanic,411
GCST006066,Hispanic,4778
GCST006066,East Asian,441
GCST006066,East Asian,4034
GCST006066,African American,298
GCST006066,African American,1549
GCST006084,European,61978
GCST006089,European,6988
GCST006089,European,44256
GCST006083,European,15167
GCST006083,European,58308
GCST006081,European,14160
GCST006081,European,62421
GCST006082,European,20658
GCST006082,European,38093
GCST006080,European,15561
GCST006080,European,9739
GCST005934,European,130
GCST005934,European,913
GCST005806,European,3301
GCST006814,African American,1749
GCST006814,African American,1136
GCST006814,African American,901
GCST006814,African American,520
GCST006175,African American,3269
GCST006175,European,2546
GCST006816,African American,803
GCST006816,African American,148
GCST006816,African American,223
GCST006816,African American,55
GCST006815,African American,945
GCST006815,African American,988
GCST006815,African American,678
GCST006815,African American,465
GCST006813,African American,1749
GCST006813,African American,901
GCST006143,European,232
GCST006143,European,1026
GCST006143,European,852
GCST006142,European,232
GCST006142,European,613
GCST006142,European,535
GCST006141,European,232
GCST006225,Dutch,71
GCST006225,Dutch,169
GCST006656,Japanese,5734
GCST006280,Hispanic or Latin American,54
GCST006280,Hispanic or Latin American,922
GCST006808,European,678
GCST006655,Japanese,5609
GCST006566,European,770
GCST006566,European,3364
GCST006654,Japanese,367
GCST006654,Japanese,5367
GCST006657,Japanese,406
GCST006657,Japanese,5328
GCST006653,Japanese,676
GCST006653,Japanese,5058
GCST006652,Japanese,937
GCST006652,Japanese,4797
GCST006651,Japanese,1902
GCST006651,Japanese,3832
GCST006650,Japanese,642
GCST006650,Japanese,5092
GCST006649,Japanese,1904
GCST006649,Japanese,3830
GCST006648,Japanese,995
GCST006648,Japanese,4739
GCST006647,Japanese,251
GCST006647,Japanese,5483
GCST006646,Japanese,1758
GCST006646,Japanese,3976
GCST006645,Japanese,1109
GCST006645,Japanese,4625
GCST006644,Japanese,1863
GCST006644,Japanese,3871
GCST006643,Japanese,903
GCST006643,Japanese,4831
GCST006642,Japanese,760
GCST006642,Japanese,4974
GCST006641,Japanese,899
GCST006641,Japanese,4835
GCST006640,Japanese,1115
GCST006640,Japanese,4619
GCST006639,Japanese,457
GCST006639,Japanese,5277
GCST006638,Japanese,112
GCST006638,Japanese,5622
GCST006637,Japanese,1813
GCST006637,Japanese,3921
GCST006636,Japanese,3573
GCST006636,Japanese,2161
GCST006134,European,926
GCST005831,European,4943
GCST005831,European,8483
GCST006136,European,944
GCST006135,European,936
GCST007250,Northern European,131
GCST007250,Northern European,1629
GCST006056,European,7647
GCST006056,Black,2104
GCST006584,Han Chinese,240
GCST006584,Han Chinese,1031
GCST006068,Japanese,3418
GCST006269,European,300486
GCST006060,European,7647
GCST006060,Black,2104
GCST006059,European,7647
GCST006059,Black,2104
GCST006058,European,7647
GCST006058,Black,2104
GCST006057,European,7647
GCST006057,Black,2104
GCST006268,European,330069
GCST006289,European,41073
GCST006289,Rucphen,2610
GCST006289,Talana,509
GCST006289,East Asian,15044
GCST006289,Malay,2275
GCST006289,Indian,2110
GCST006289,Asian,2506
GCST006291,European,145366
GCST006291,Rucphen,2610
GCST006291,Talana,509
GCST006291,East Asian,15044
GCST006291,Malay,2275
GCST006291,Indian,2110
GCST006291,Asian,2506
GCST006290,European,104293
GCST007423,European,178
GCST007423,European,612
GCST007424,European,55
GCST007424,European,612
GCST007562,European,14085
GCST007562,European,76768
GCST005928,Dutch,38
GCST005928,Dutch,846
GCST005908,European,253288
GCST007564,European,14085
GCST007564,European,25685
GCST007564,European,76768
GCST005746,Japanese,473
GCST005746,Japanese,516
GCST006412,European,139555
GCST007563,European,25685
GCST007563,European,76768
GCST005920,British,14338
GCST005920,British,245941
GCST006393,Japanese,11283
GCST006392,Japanese,11283
GCST005923,British,27696
GCST005923,British,260980
GCST006391,Japanese,939
GCST006391,Japanese,10344
GCST005922,British,42034
GCST005922,British,272244
GCST005921,British,42034
GCST005921,European,272244
GCST005863,Japanese,43861
GCST005864,Japanese,10875
GCST005864,Japanese,14557
GCST005865,Japanese,15709
GCST005865,Japanese,14557
GCST005867,Japanese,67029
GCST005787,European,35455
GCST005787,European,31802
GCST006430,Han Chinese,139
GCST006938,European,63
GCST006938,European,784
GCST006937,European,66
GCST006937,European,784
GCST005964,European,66
GCST005964,European,63
GCST005964,European,784
GCST006219,East Asian,547
GCST005790,European,73265
GCST005789,European,67062
GCST005788,European,35455
GCST005788,European,31802
GCST006042,European,2812
GCST006042,European,3846
GCST006042,African American,821
GCST006042,African American,2459
GCST005747,European,47
GCST005747,European,48
GCST005667,European,17803
GCST005667,Asian,8107
GCST006367,Asian,8107
GCST006366,European,17803
GCST005870,European,1606
GCST005870,European,9823
GCST007113,Venezuelan,374
GCST007113,European,4061
GCST006062,European,8429
GCST006064,European,8239
GCST006063,European,8239
GCST005714,European,86
GCST005714,European,163
GCST005714,European,91
GCST005713,European,176
GCST005713,European,172
GCST005713,European,179
GCST005931,European,4831
GCST005931,European,3206
GCST005931,European,5216
GCST005931,European,5470
GCST005933,European,1716
GCST005933,European,1320
GCST005933,European,5216
GCST005933,European,5470
GCST005932,European,2835
GCST005932,European,1682
GCST005932,European,5216
GCST005932,European,5470
GCST006282,European,270
GCST006282,European,435
GCST006283,European,176
GCST006283,European,435
GCST005861,European,7582
GCST005862,European,1910
GCST005866,European,6016
GCST005868,European,6016
GCST005896,European,5912
GCST005896,European,181740
GCST005897,European,46768
GCST005897,European,74528
GCST005869,European,11494
GCST006818,European,119
GCST005715,Japanese,4476
GCST006812,European,207229
GCST006812,European,243177
GCST006810,European,113882
GCST006810,European,322354
GCST006817,European,112
GCST006817,European,98
GCST006248,European,264
GCST006248,African American,158
GCST006284,European,2022
GCST006284,European,1268
GCST006049,South Indian,195
GCST006050,South Indian,195
GCST006146,European,262
GCST006146,European,120
GCST006154,European,382
GCST006154,European,1146
GCST006153,European,184
GCST006153,European,198
GCST006152,European,169
GCST006152,European,213
GCST006151,European,139
GCST006151,European,243
GCST006150,European,382
GCST006150,European,1146
GCST006149,European,382
GCST006148,European,382
GCST006148,European,1146
GCST006147,European,382
GCST005881,European,5908
GCST005881,European,4967
GCST005895,European,3345
GCST005895,European,2372
GCST006217,European,3088
GCST006217,European,7587
GCST006138,European,1877
GCST005907,European,84847
GCST005907,European,241266
GCST005907,Han Chinese,5303
GCST005907,Han Chinese,5337
GCST005894,European,1184
GCST005894,European,8466
GCST005893,European,371
GCST005893,European,4471
GCST005891,European,13158
GCST005892,European,9197
GCST005890,European,2795
GCST005890,European,4831
GCST005889,European,1989
GCST005889,European,2238
GCST005888,European,3096
GCST005888,European,4967
GCST005887,European,1339
GCST005887,European,2372
GCST005886,European,1181
GCST005886,European,4474
GCST005885,European,371
GCST005885,European,2076
GCST005884,European,1525
GCST005884,European,3908
GCST005883,European,408
GCST005883,European,1890
GCST005880,European,5447
GCST005880,European,4717
GCST005882,European,3094
GCST005882,European,2906
GCST005938,European,4419
GCST005839,European,135458
GCST005839,European,344901
GCST006035,European,589
GCST006035,European,378
GCST006035,European,18
GCST006035,European,1769
GCST005940,European,4419
GCST005939,European,4419
GCST006281,European,434
GCST006281,European,3123
GCST005830,British,334825
GCST006494,African American,2452
GCST006494,African American,3772
GCST006495,African American,2452
GCST006495,African American,3772
GCST005829,British,223215
GCST006220,European,581
GCST006220,African American,31
GCST006220,Asian American,8
GCST006224,European,581
GCST006224,African American,31
GCST006224,Asian American,8
GCST006223,European,581
GCST006223,African American,31
GCST006223,Asian American,8
GCST006222,European,581
GCST006222,African American,31
GCST006222,Asian American,8
GCST006221,European,581
GCST006221,African American,31
GCST006221,Asian American,8
GCST006535,European,1335
GCST006535,European,9768
GCST007732,European,180129
GCST007732,European,180709
GCST006819,Japanese,6403
GCST006826,Japanese,6403
GCST006825,Japanese,6403
GCST006824,Japanese,6403
GCST006823,Japanese,6403
GCST006822,Japanese,6403
GCST006821,Japanese,6403
GCST006820,Japanese,6403
GCST005904,British,30603
GCST005904,British,143916
GCST005902,British,113769
GCST005902,British,208811
GCST006075,European,290891
GCST005903,British,8276
GCST005903,British,209308
GCST006365,French,29
GCST006365,French,107
GCST006365,French,192
GCST006365,French,174
GCST005748,European,12636
GCST005671,East Asian,607
GCST005753,European,845
GCST005753,African American,222
GCST005749,European,14382
GCST005749,European,1279
GCST005750,European,12586
GCST006431,Korkulan,806
GCST006431,Croatian,959
GCST005916,European,4024
GCST005919,European,2706
GCST005918,European,717
GCST005918,European,2175
GCST005917,European,2854
GCST007518,European,48286
GCST007518,European,250671
GCST007517,European,48286
GCST007517,European,250671
GCST005832,European,2442
GCST005832,European,14609
GCST005878,Korean,1946
GCST005878,Korean,6427
GCST005905,Black,3057
GCST005905,European,10769
GCST005912,Chinese,748
GCST005912,Chinese,4983
GCST005914,Chinese,6943
GCST005915,Chinese,5786
GCST005913,Chinese,5786
GCST006805,European,67
GCST006805,European,72
GCST005936,European,1618
GCST005936,European,20899
GCST005936,African,652
GCST005936,African,8622
GCST005936,Hispanic/Latino,354
GCST005936,Hispanic/Latino,10831
GCST005937,European,2468
GCST005937,European,21204
GCST005937,African,481
GCST005937,African,8793
GCST005937,Hispanic/Latino,168
GCST005937,Hispanic/Latino,11017
GCST006304,British,7130
GCST006304,British,2446
GCST006304,British,178076
GCST006304,British,158423
GCST005935,European,1618
GCST005935,African,652
GCST005935,Hispanic/Latino,354
GCST005935,European,2468
GCST005935,African,481
GCST005935,Hispanic/Latino,168
GCST005935,European,19586
GCST005935,African,8141
GCST005935,Hispanic/Latino,10663
GCST006043,European,461
GCST006043,African American,297
GCST005718,European,4937
GCST005718,European,821
GCST005717,European,5313
GCST005717,European,1676
GCST005720,European,5642
GCST005720,European,2228
GCST005719,European,1981
GCST005719,European,2158
GCST005783,Japanese,254
GCST005784,Japanese,254
GCST005688,European,63
GCST005688,African American,21
GCST005688,Native American,4
GCST005688,Asian,1
GCST005688,European,61
GCST005688,African American,21
GCST005688,Native American,3
GCST005688,Asian,1
GCST005579,African American,783
GCST005579,African American,1214
GCST005578,African American,592
GCST005578,African American,586
GCST005580,European,115486
GCST005686,European,57
GCST005686,European,589
GCST005646,Finnish,214
GCST005687,Icelandic,39
GCST005687,Icelandic,140661
GCST005807,Chinese,236
GCST005808,Chinese,236
GCST005711,European,4633
GCST005712,European,4633
GCST005670,European,1297
GCST005929,European,14988
GCST005929,European,14292
GCST005929,European,17786
GCST005929,European,5445
GCST005929,European,1220
GCST005647,European,20806
GCST005647,European,59804
GCST005930,European,1306
GCST005930,European,15756
GCST005791,Korean,7064
GCST005809,Japanese,360
GCST005809,Japanese,11049
GCST005794,Korean,7064
GCST005811,European,12658
GCST005811,European,50898
GCST005812,European,6586
GCST005812,European,26384
GCST005813,European,4462
GCST005813,European,17885
GCST005814,European,10083
GCST005814,European,40425
GCST005810,European,2396
GCST005810,European,9593
GCST005793,Korean,7064
GCST005792,Korean,7064
GCST006404,European,5947
GCST006981,European,3513
GCST005648,European,1143
GCST005927,European,35
GCST005927,European,372
GCST005926,European,407
GCST005925,European,407
GCST005924,European,175
GCST005924,European,232
GCST005666,European,1143
GCST005651,European,1143
GCST006526,European,3104
GCST006526,European,2182
GCST006527,European,3104
GCST006527,European,2182
GCST006528,European,3104
GCST006528,European,2182
GCST006529,European,3104
GCST006529,European,2182
GCST006531,European,2284
GCST006531,European,2182
GCST006532,European,2284
GCST006532,European,2182
GCST006530,European,2284
GCST006530,European,2182
GCST005650,European,1143
GCST005649,European,1143
GCST006525,European,2284
GCST006525,European,2182
GCST005800,African American,20
GCST005800,Hispanic Caucasian,6
GCST005800,European,4
GCST005800,African American,283
GCST005800,Hispanic Caucasian,130
GCST005800,European,133
GCST005761,European,3002
GCST006299,Finnish,1715
GCST005558,European,17627
GCST005558,Latin American,2044
GCST005558,East Asian,1300
GCST005558,African American,658
GCST005558,European,65637
GCST005558,Latin American,6516
GCST005558,East Asian,6218
GCST005558,African American,2508
GCST006869,Finnish,540
GCST006869,Finnish,1163
GCST006303,Finnish,1703
GCST006302,Finnish,873
GCST006302,Finnish,842
GCST006301,Finnish,1715
GCST006300,Finnish,1711
GCST005606,Japanese,107
GCST005606,Japanese,351
GCST005606,Japanese,735
GCST005751,European,22318
GCST005751,European,24543
GCST006910,European,7193
GCST006910,European,406111
GCST006909,European,5386
GCST006909,European,192662
GCST005843,European,34217
GCST005843,European,406111
GCST005843,East Asian,17369
GCST005843,East Asian,28195
GCST005843,South Asian,2437
GCST005843,South Asian,6707
GCST005843,African American,5541
GCST005843,African American,15146
GCST005843,Asian,222
GCST005843,Asian,333
GCST005843,Latin American,555
GCST005843,Latin American,692
GCST005842,European,7193
GCST005842,European,406111
GCST005842,East Asian,847
GCST005842,East Asian,28195
GCST005842,South Asian,422
GCST005842,South Asian,6707
GCST005842,African American,414
GCST005842,African American,15146
GCST005842,Asian,31
GCST005842,Asian,333
GCST005842,Latin American,99
GCST005842,Latin American,692
GCST005841,European,5386
GCST005841,European,192662
GCST005841,East Asian,5096
GCST005841,East Asian,28195
GCST005841,South Asian,314
GCST005841,South Asian,6707
GCST005841,African American,694
GCST005841,African American,15146
GCST005841,Asian,134
GCST005841,Asian,333
GCST005841,Latin American,86
GCST005841,Latin American,692
GCST005840,European,4373
GCST005840,European,406111
GCST005840,East Asian,1626
GCST005840,East Asian,28195
GCST005840,South Asian,355
GCST005840,South Asian,6707
GCST005840,African American,259
GCST005840,African American,15146
GCST005840,Asian,34
GCST005840,Asian,333
GCST005840,Latin American,41
GCST005840,Latin American,692
GCST006908,European,34217
GCST006908,European,406111
GCST006907,European,4373
GCST006907,European,406111
GCST005838,European,40585
GCST005838,European,406111
GCST005838,East Asian,17369
GCST005838,East Asian,28195
GCST005838,South Asian,2437
GCST005838,South Asian,6707
GCST005838,African American,5541
GCST005838,African American,15154
GCST005838,Asian,365
GCST005838,Asian,333
GCST005838,Latin American,865
GCST005838,Latin American,692
GCST005576,French Canadian,173
GCST005576,French Canadian,1772
GCST006906,European,40585
GCST006906,European,406111
GCST005851,European,421
GCST005851,European,5614
GCST005577,African American,135
GCST005577,European,175
GCST005590,Kenyan,180
GCST005590,Kenyan,2677
GCST006133,Korean,119
GCST006132,Korean,119
GCST007044,European,1247
GCST007044,European,86493
GCST005566,European American,2297
GCST005566,African American,334
GCST005566,Latino American,606
GCST005566,European American,9176
GCST005566,African American,2345
GCST005566,Latino American,2893
GCST005785,French Canadian,1009
GCST005785,French Canadian,1017
GCST005587,Bangladeshi,1142
GCST006126,European,192
GCST006126,European,330
GCST006127,European,192
GCST006127,European,398
GCST006128,European,522
GCST006128,European,398
GCST005586,Bangladeshi,1142
GCST005561,Icelandic,2457
GCST005561,Icelandic,349342
GCST005557,Chinese,139
GCST007131,European,265204
GCST007131,Hispanic,7795
GCST007131,East Asian,6855
GCST007131,African American,2958
GCST007131,South Asian,439
GCST007143,European,76627
GCST007143,Hispanic,7795
GCST007143,East Asian,6855
GCST007143,African American,2958
GCST007143,South Asian,439
GCST007142,European,76627
GCST007142,Hispanic,7795
GCST007142,East Asian,6855
GCST007142,African American,2958
GCST007142,South Asian,439
GCST007134,European,265204
GCST007134,Hispanic,7795
GCST007134,East Asian,6855
GCST007134,African American,2958
GCST007134,South Asian,439
GCST007133,European,265204
GCST007133,Hispanic,7795
GCST007133,East Asian,6855
GCST007133,African American,2958
GCST007133,South Asian,439
GCST007132,European,265204
GCST007132,Hispanic,7795
GCST007132,East Asian,6855
GCST007132,African American,2958
GCST007132,South Asian,439
GCST007141,European,76627
GCST007141,Hispanic,7795
GCST007141,East Asian,6855
GCST007141,African American,2958
GCST007141,South Asian,439
GCST007140,European,76627
GCST007140,Hispanic,7795
GCST007140,East Asian,6855
GCST007140,African American,2958
GCST007140,South Asian,439
GCST005691,Han Chinese,4785
GCST005691,Han Chinese,4814
GCST005689,Han Chinese,3139
GCST005689,Han Chinese,3832
GCST005690,Han Chinese,1646
GCST005690,Han Chinese,982
GCST006952,European,371318
GCST006951,European,372047
GCST006950,European,372869
GCST006949,European,369499
GCST006948,European,373121
GCST006947,European,374971
GCST006946,European,367725
GCST006945,European,373380
GCST006944,European,373733
GCST006943,European,376097
GCST006942,European,376352
GCST006941,European,366726
GCST006940,European,380506
GCST005845,European,54137
GCST005845,Asian,1744
GCST005845,African,1445
GCST005815,European,466
GCST005815,European,2099
GCST006293,Han Chinese,412
GCST006294,Han Chinese,425
GCST006285,Han Chinese,397
GCST006295,Han Chinese,386
GCST006296,Han Chinese,408
GCST006297,Han Chinese,193
GCST006298,Han Chinese,192
GCST005763,European,33431
GCST007358,European,181
GCST005709,European,926
GCST005709,Hispanic,7
GCST005709,Asian,1
GCST005709,African,1
GCST005708,European,926
GCST005708,Hispanic,7
GCST005708,Asian,1
GCST005708,African,1
GCST005707,European,926
GCST005707,Hispanic,7
GCST005707,Asian,1
GCST005707,African,1
GCST005764,European,2449
GCST005764,European,30982
GCST005765,European,3527
GCST005765,European,29904
GCST005766,European,4315
GCST005766,European,29116
GCST005767,European,6403
GCST005767,European,27028
GCST005768,European,4935
GCST005768,European,28496
