,Broader,N,PUBMEDID,AUTHOR,DiseaseOrTrait,STAGE,DATE,ACCESSION,parentterm,EFOTerm,color
3787,Other/Mixed,1.0,30160337.0,Asleh R,Glomerular filtration rate change in heart transplantation,initial,2018-08-30,GCST006496,Biological process,response to transplant,#99d594
3789,European,243.0,30160337.0,Asleh R,Glomerular filtration rate change in heart transplantation,initial,2018-08-30,GCST006496,Other measurement,GFR change measurement,#d53e4f
3790,Other/Mixed,1.0,30160337.0,Asleh R,Glomerular filtration rate change in heart transplantation,initial,2018-08-30,GCST006496,Other measurement,GFR change measurement,#99d594
3792,European,2286.0,30172743.0,Liang X,Bone mineral density (spine),initial,2018-08-30,GCST006447,Other measurement,spine bone mineral density,#d53e4f
3793,European,2286.0,30172743.0,Liang X,Ulna and radius bone mineral density,initial,2018-08-30,GCST006446,Other measurement,radius bone mineral density,#d53e4f
3794,European,2286.0,30172743.0,Liang X,Femoral neck bone mineral density,initial,2018-08-30,GCST006445,Other measurement,femoral neck bone mineral density,#d53e4f
3795,European,2286.0,30172743.0,Liang X,Bone mineral density (hip),initial,2018-08-30,GCST006444,Other measurement,hip bone mineral density,#d53e4f
3796,European,456426.0,30124842.0,Yengo L,Body mass index,initial,2018-08-16,GCST006900,Body measurement,body mass index,#d53e4f
3799,European,4421.0,28445677.0,Steri M,Multiple sclerosis,initial,2017-04-27,GCST004290,Immune system disorder,multiple sclerosis,#d53e4f
3800,European,14789.0,28445677.0,Steri M,Multiple sclerosis,replication,2017-04-27,GCST004290,Immune system disorder,multiple sclerosis,#d53e4f
3801,Asian,2012.0,28460022.0,Lee JY,Early onset atrial fibrillation,replication,2017-04-27,GCST004352,Cardiovascular disease,atrial fibrillation,#3288bd
3802,Asian,4372.0,28460022.0,Lee JY,Early onset atrial fibrillation,initial,2017-04-27,GCST004352,Cardiovascular disease,atrial fibrillation,#3288bd
3803,European,110517.0,28452372.0,Gorski M,Glomerular filtration rate (creatinine),initial,2017-04-28,GCST004292,Other measurement,glomerular filtration rate,#d53e4f
3804,European,110517.0,28452372.0,Gorski M,Glomerular filtration rate (creatinine),initial,2017-04-28,GCST004292,Other measurement,serum creatinine measurement,#d53e4f
3805,European,979.0,28441426.0,White CC,Residual cognition,initial,2017-04-25,GCST004291,Biological process,cognition,#d53e4f
3806,European,979.0,28441426.0,White CC,Residual cognition,initial,2017-04-25,GCST004291,Biological process,aging,#d53e4f
3807,Other/Mixed,787.0,28449029.0,Munz M,Aggressive periodontitis,initial,2017-04-25,GCST004303,Digestive system disorder,aggressive periodontitis,#99d594
3808,European,7687.0,28449029.0,Munz M,Aggressive periodontitis,initial,2017-04-25,GCST004303,Digestive system disorder,aggressive periodontitis,#d53e4f
3809,European,242.0,28560309.0,Lee E,Accelerated cognitive decline after conversion of mild cognitive impairment to Alzheimer's disease (Alzhiemer's diagnosis trajectory interaction),initial,2017-04-23,GCST004253,Other trait,cognitive impairment,#d53e4f
3810,European,242.0,28560309.0,Lee E,Accelerated cognitive decline after conversion of mild cognitive impairment to Alzheimer's disease (Alzhiemer's diagnosis trajectory interaction),initial,2017-04-23,GCST004253,Neurological disorder,Alzheimer's disease,#d53e4f
3811,European,242.0,28560309.0,Lee E,Accelerated cognitive decline after conversion of mild cognitive impairment to Alzheimer's disease (Alzhiemer's diagnosis trajectory interaction),initial,2017-04-23,GCST004253,Other measurement,cognitive decline measurement,#d53e4f
3812,African Am./Caribbean,20384.0,28430825.0,Ng MCY,Waist-to-hip ratio adjusted for body mass index,initial,2017-04-21,GCST004518,Body measurement,BMI-adjusted waist-hip ratio,#fee08b
3813,European,210086.0,28430825.0,Ng MCY,Waist-to-hip ratio adjusted for body mass index,replication,2017-04-21,GCST004518,Body measurement,BMI-adjusted waist-hip ratio,#d53e4f
3814,African Am./Caribbean,2711.0,28430825.0,Ng MCY,Waist-to-hip ratio adjusted for body mass index,replication,2017-04-21,GCST004518,Body measurement,BMI-adjusted waist-hip ratio,#fee08b
3815,Hispanic/Latin American,7047.0,28485404.0,Jorgenson E,Alcohol consumption (drinks per week),initial,2017-05-09,GCST004405,Other measurement,alcohol consumption measurement,#807dba
3816,Asian,6034.0,28485404.0,Jorgenson E,Alcohol consumption (drinks per week),initial,2017-05-09,GCST004405,Other measurement,alcohol consumption measurement,#3288bd
3817,European,71071.0,28485404.0,Jorgenson E,Alcohol consumption (drinks per week),initial,2017-05-09,GCST004405,Other measurement,alcohol consumption measurement,#d53e4f
3818,African Am./Caribbean,2475.0,28485404.0,Jorgenson E,Alcohol consumption (drinks per week),initial,2017-05-09,GCST004405,Other measurement,alcohol consumption measurement,#fee08b
3819,Hispanic/Latin American,7047.0,28485404.0,Jorgenson E,Alcohol consumption (drinks per week),initial,2017-05-09,GCST004405,Biological process,alcohol drinking,#807dba
3820,Asian,6034.0,28485404.0,Jorgenson E,Alcohol consumption (drinks per week),initial,2017-05-09,GCST004405,Biological process,alcohol drinking,#3288bd
3821,European,71071.0,28485404.0,Jorgenson E,Alcohol consumption (drinks per week),initial,2017-05-09,GCST004405,Biological process,alcohol drinking,#d53e4f
3822,African Am./Caribbean,2475.0,28485404.0,Jorgenson E,Alcohol consumption (drinks per week),initial,2017-05-09,GCST004405,Biological process,alcohol drinking,#fee08b
3823,Asian,6034.0,28485404.0,Jorgenson E,Alcohol consumption (drinkers vs non-drinkers),initial,2017-05-09,GCST004404,Other measurement,alcohol consumption measurement,#3288bd
3824,European,71071.0,28485404.0,Jorgenson E,Alcohol consumption (drinkers vs non-drinkers),initial,2017-05-09,GCST004404,Other measurement,alcohol consumption measurement,#d53e4f
3825,Hispanic/Latin American,7047.0,28485404.0,Jorgenson E,Alcohol consumption (drinkers vs non-drinkers),initial,2017-05-09,GCST004404,Other measurement,alcohol consumption measurement,#807dba
3826,African Am./Caribbean,2475.0,28485404.0,Jorgenson E,Alcohol consumption (drinkers vs non-drinkers),initial,2017-05-09,GCST004404,Other measurement,alcohol consumption measurement,#fee08b
3827,Asian,6034.0,28485404.0,Jorgenson E,Alcohol consumption (drinkers vs non-drinkers),initial,2017-05-09,GCST004404,Biological process,alcohol drinking,#3288bd
3828,European,71071.0,28485404.0,Jorgenson E,Alcohol consumption (drinkers vs non-drinkers),initial,2017-05-09,GCST004404,Biological process,alcohol drinking,#d53e4f
3829,Hispanic/Latin American,7047.0,28485404.0,Jorgenson E,Alcohol consumption (drinkers vs non-drinkers),initial,2017-05-09,GCST004404,Biological process,alcohol drinking,#807dba
3830,African Am./Caribbean,2475.0,28485404.0,Jorgenson E,Alcohol consumption (drinkers vs non-drinkers),initial,2017-05-09,GCST004404,Biological process,alcohol drinking,#fee08b
3831,Other/Mixed,419.0,28476931.0,Piaggi P,Energy expenditure (24h),initial,2017-05-05,GCST004524,Other measurement,energy expenditure measurement,#99d594
3832,Other/Mixed,509.0,28476931.0,Piaggi P,Resting metabolic rate,initial,2017-05-05,GCST004523,Other measurement,resting metabolic rate measurement,#99d594
3833,European,16627.0,28472463.0,Mullin BH,Bone ultrasound measurement (velocity of sound),initial,2017-05-04,GCST004350,Other measurement,bone quantitative ultrasound measurement,#d53e4f
3834,European,16627.0,28472463.0,Mullin BH,Bone ultrasound measurement (broadband ultrasound attenuation),initial,2017-05-04,GCST004351,Other measurement,bone quantitative ultrasound measurement,#d53e4f
3835,Asian,1283.0,28471803.0,Choe EK,Elevated serum prostate-specific antigen levels in healthy men,replication,2017-05-03,GCST004345,Other measurement,prostate specific antigen measurement,#3288bd
3836,Asian,2841.0,28471803.0,Choe EK,Elevated serum prostate-specific antigen levels in healthy men,initial,2017-05-03,GCST004345,Other measurement,prostate specific antigen measurement,#3288bd
3837,European,868.0,28470677.0,Tang H,Survival in pancreatic cancer,initial,2017-05-03,GCST004485,Other measurement,overall survival time,#d53e4f
3838,European,820.0,28470677.0,Tang H,Survival in pancreatic cancer,replication,2017-05-03,GCST004485,Other measurement,overall survival time,#d53e4f
3839,European,868.0,28470677.0,Tang H,Survival in pancreatic cancer,initial,2017-05-03,GCST004485,Cancer,pancreatic carcinoma,#d53e4f
3840,European,820.0,28470677.0,Tang H,Survival in pancreatic cancer,replication,2017-05-03,GCST004485,Cancer,pancreatic carcinoma,#d53e4f
3841,Hispanic/Latin American,5037.0,28461288.0,Yan Q,Asthma,initial,2017-05-01,GCST004390,Other disease,asthma,#807dba
3842,European,24063.0,28452372.0,Gorski M,Glomerular filtration rate (cystatin C),initial,2017-04-28,GCST004293,Other measurement,glomerular filtration rate,#d53e4f
3843,European,24063.0,28452372.0,Gorski M,Glomerular filtration rate (cystatin C),initial,2017-04-28,GCST004293,Other measurement,cystatin c measurement,#d53e4f
3844,European,14713.0,28440896.0,Yin X,Nicotine dependence,initial,2017-04-25,GCST004294,Neurological disorder,nicotine dependence,#d53e4f
3845,African Am./Caribbean,3369.0,28440896.0,Yin X,Nicotine dependence,initial,2017-04-25,GCST004294,Neurological disorder,nicotine dependence,#fee08b
3846,European,8424.0,28333195.0,Uimari O,Deep ovarian and/or rectovaginal disease with dense adhesions,initial,2017-04-01,GCST004370,Other disease,endometriosis,#d53e4f
3847,European,8746.0,28333195.0,Uimari O,Ovarian disease with few adhesions,initial,2017-04-01,GCST004369,Other disease,endometriosis,#d53e4f
3848,African Am./Caribbean,317.0,28289848.0,Haralambieva IH,Immune response to measles vaccine (measles-induced IFN gamma),initial,2017-04-01,GCST004268,Response to drug,response to vaccine,#fee08b
3849,European,2555.0,28289848.0,Haralambieva IH,Immune response to measles vaccine (measles-induced IFN gamma),initial,2017-04-01,GCST004268,Response to drug,response to vaccine,#d53e4f
3850,European,513.0,28207573.0,Backman JD,Response to clopidogrel therapy,initial,2017-04-01,GCST004266,Cardiovascular measurement,platelet reactivity measurement,#d53e4f
3851,European,513.0,28207573.0,Backman JD,Response to clopidogrel therapy,initial,2017-04-01,GCST004266,Response to drug,response to clopidogrel,#d53e4f
3852,European,10254.0,28333195.0,Uimari O,Endometriosis,initial,2017-04-01,GCST004368,Other disease,endometriosis,#d53e4f
3854,European,120158.0,28373160.0,Klarin D,Venous thromboembolism,initial,2017-04-01,GCST004256,Cardiovascular disease,venous thromboembolism,#d53e4f
3855,European,2555.0,28289848.0,Haralambieva IH,Immune response to measles vaccine (measles-specific neutralising antibody titre),initial,2017-04-01,GCST004269,Response to drug,response to vaccine,#d53e4f
3856,African Am./Caribbean,317.0,28289848.0,Haralambieva IH,Immune response to measles vaccine (measles-specific neutralising antibody titre),initial,2017-04-01,GCST004269,Response to drug,response to vaccine,#fee08b
3857,European,1449.0,28358029.0,Afshari NA,Fuchs's corneal dystrophy,replication,2017-03-30,GCST004217,Neurological disorder,Fuchs endothelial corneal dystrophy,#d53e4f
3858,European,3968.0,28358029.0,Afshari NA,Fuchs's corneal dystrophy,initial,2017-03-30,GCST004217,Neurological disorder,Fuchs endothelial corneal dystrophy,#d53e4f
3859,European,1562.0,28355232.0,Ward-Caviness CK,Coronary atherosclerosis (increased number of diseased vessels) (traffic exposure interaction),initial,2017-03-29,GCST004224,Other measurement,coronary atherosclerosis measurement,#d53e4f
3860,African Am./Caribbean,538.0,28355232.0,Ward-Caviness CK,Coronary atherosclerosis (increased number of diseased vessels) (traffic exposure interaction),initial,2017-03-29,GCST004224,Other measurement,coronary atherosclerosis measurement,#fee08b
3861,European,1562.0,28355232.0,Ward-Caviness CK,Coronary atherosclerosis (increased number of diseased vessels) (traffic exposure interaction),initial,2017-03-29,GCST004224,Other measurement,traffic air pollution measurement,#d53e4f
3862,African Am./Caribbean,538.0,28355232.0,Ward-Caviness CK,Coronary atherosclerosis (increased number of diseased vessels) (traffic exposure interaction),initial,2017-03-29,GCST004224,Other measurement,traffic air pollution measurement,#fee08b
3863,Asian,679.0,28355295.0,Hong EP,Tuberculosis,replication,2017-03-29,GCST004226,Other disease,tuberculosis,#3288bd
3864,Asian,1790.0,28355295.0,Hong EP,Tuberculosis,initial,2017-03-29,GCST004226,Other disease,tuberculosis,#3288bd
3865,European,30659.0,28346443.0,Melin BS,Glioma,initial,2017-03-27,GCST004347,Cancer,central nervous system cancer,#d53e4f
3866,European,30659.0,28346443.0,Melin BS,Glioma,initial,2017-03-27,GCST004347,Cancer,glioma,#d53e4f
3867,European,322154.0,28430825.0,Ng MCY,Body mass index (adult),replication,2017-04-21,GCST004519,Body measurement,body mass index,#d53e4f
3868,African,10143.0,28430825.0,Ng MCY,Body mass index (adult),replication,2017-04-21,GCST004519,Body measurement,body mass index,#fc8d59
3869,African,1056.0,28430825.0,Ng MCY,Body mass index (adult),initial,2017-04-21,GCST004519,Body measurement,body mass index,#fc8d59
3870,African Am./Caribbean,46696.0,28430825.0,Ng MCY,Body mass index (adult),initial,2017-04-21,GCST004519,Body measurement,body mass index,#fee08b
3871,African Am./Caribbean,52.0,28429243.0,Dudenkov TM,Estrone conjugates/estrone ratio in resected early stage estrogen-receptor positive breast cancer,initial,2017-04-20,GCST004360,Other measurement,estrone conjugate measurement,#fee08b
3872,Asian,15.0,28429243.0,Dudenkov TM,Estrone conjugates/estrone ratio in resected early stage estrogen-receptor positive breast cancer,initial,2017-04-20,GCST004360,Other measurement,estrone conjugate measurement,#3288bd
3873,European,707.0,28429243.0,Dudenkov TM,Estrone conjugates/estrone ratio in resected early stage estrogen-receptor positive breast cancer,initial,2017-04-20,GCST004360,Other measurement,estrone conjugate measurement,#d53e4f
3874,African Am./Caribbean,52.0,28429243.0,Dudenkov TM,Estrone conjugates/estrone ratio in resected early stage estrogen-receptor positive breast cancer,initial,2017-04-20,GCST004360,Cancer,estrogen-receptor positive breast cancer,#fee08b
3875,Asian,15.0,28429243.0,Dudenkov TM,Estrone conjugates/estrone ratio in resected early stage estrogen-receptor positive breast cancer,initial,2017-04-20,GCST004360,Cancer,estrogen-receptor positive breast cancer,#3288bd
3876,European,707.0,28429243.0,Dudenkov TM,Estrone conjugates/estrone ratio in resected early stage estrogen-receptor positive breast cancer,initial,2017-04-20,GCST004360,Cancer,estrogen-receptor positive breast cancer,#d53e4f
3877,African Am./Caribbean,52.0,28429243.0,Dudenkov TM,Estrone conjugates/estrone ratio in resected early stage estrogen-receptor positive breast cancer,initial,2017-04-20,GCST004360,Other measurement,estrone measurement,#fee08b
3878,Asian,15.0,28429243.0,Dudenkov TM,Estrone conjugates/estrone ratio in resected early stage estrogen-receptor positive breast cancer,initial,2017-04-20,GCST004360,Other measurement,estrone measurement,#3288bd
3879,European,707.0,28429243.0,Dudenkov TM,Estrone conjugates/estrone ratio in resected early stage estrogen-receptor positive breast cancer,initial,2017-04-20,GCST004360,Other measurement,estrone measurement,#d53e4f
3880,European,707.0,28429243.0,Dudenkov TM,Plasma estrone conjugates levels in resected early stage estrogen-receptor positive breast cancer,initial,2017-04-20,GCST004359,Other measurement,estrone conjugate measurement,#d53e4f
3881,African Am./Caribbean,52.0,28429243.0,Dudenkov TM,Plasma estrone conjugates levels in resected early stage estrogen-receptor positive breast cancer,initial,2017-04-20,GCST004359,Other measurement,estrone conjugate measurement,#fee08b
3882,Asian,15.0,28429243.0,Dudenkov TM,Plasma estrone conjugates levels in resected early stage estrogen-receptor positive breast cancer,initial,2017-04-20,GCST004359,Other measurement,estrone conjugate measurement,#3288bd
3883,European,707.0,28429243.0,Dudenkov TM,Plasma estrone conjugates levels in resected early stage estrogen-receptor positive breast cancer,initial,2017-04-20,GCST004359,Cancer,estrogen-receptor positive breast cancer,#d53e4f
3884,African Am./Caribbean,52.0,28429243.0,Dudenkov TM,Plasma estrone conjugates levels in resected early stage estrogen-receptor positive breast cancer,initial,2017-04-20,GCST004359,Cancer,estrogen-receptor positive breast cancer,#fee08b
3885,Asian,15.0,28429243.0,Dudenkov TM,Plasma estrone conjugates levels in resected early stage estrogen-receptor positive breast cancer,initial,2017-04-20,GCST004359,Cancer,estrogen-receptor positive breast cancer,#3288bd
3886,Asian,3034.0,28425483.0,Qiu F,Primary biliary cholangitis,replication,2017-04-20,GCST004302,Cancer,primary biliary cirrhosis,#3288bd
3887,Asian,5158.0,28425483.0,Qiu F,Primary biliary cholangitis,initial,2017-04-20,GCST004302,Cancer,primary biliary cirrhosis,#3288bd
3888,Asian,534.0,28424481.0,Sugiura-Ogasawara M,Obstetric antiphospholipid syndrome,initial,2017-04-20,GCST004227,Immune system disorder,antiphospholipid syndrome,#3288bd
3889,European,707.0,28429243.0,Dudenkov TM,Plasma androstenedione levels in resected early stage-receptor positive breast cancer,initial,2017-04-20,GCST004363,Other measurement,androstenedione measurement,#d53e4f
3890,African Am./Caribbean,52.0,28429243.0,Dudenkov TM,Plasma androstenedione levels in resected early stage-receptor positive breast cancer,initial,2017-04-20,GCST004363,Other measurement,androstenedione measurement,#fee08b
3891,Asian,15.0,28429243.0,Dudenkov TM,Plasma androstenedione levels in resected early stage-receptor positive breast cancer,initial,2017-04-20,GCST004363,Other measurement,androstenedione measurement,#3288bd
3892,European,707.0,28429243.0,Dudenkov TM,Plasma androstenedione levels in resected early stage-receptor positive breast cancer,initial,2017-04-20,GCST004363,Cancer,estrogen-receptor positive breast cancer,#d53e4f
3893,African Am./Caribbean,52.0,28429243.0,Dudenkov TM,Plasma androstenedione levels in resected early stage-receptor positive breast cancer,initial,2017-04-20,GCST004363,Cancer,estrogen-receptor positive breast cancer,#fee08b
3894,Asian,15.0,28429243.0,Dudenkov TM,Plasma androstenedione levels in resected early stage-receptor positive breast cancer,initial,2017-04-20,GCST004363,Cancer,estrogen-receptor positive breast cancer,#3288bd
3895,Asian,15.0,28429243.0,Dudenkov TM,Plasma estrone levels in resected estrogen-receptor positive breast cancer,initial,2017-04-20,GCST004362,Cancer,estrogen-receptor positive breast cancer,#3288bd
3896,African Am./Caribbean,52.0,28429243.0,Dudenkov TM,Plasma estrone levels in resected estrogen-receptor positive breast cancer,initial,2017-04-20,GCST004362,Cancer,estrogen-receptor positive breast cancer,#fee08b
3897,European,707.0,28429243.0,Dudenkov TM,Plasma estrone levels in resected estrogen-receptor positive breast cancer,initial,2017-04-20,GCST004362,Cancer,estrogen-receptor positive breast cancer,#d53e4f
3898,Asian,15.0,28429243.0,Dudenkov TM,Plasma estrone levels in resected estrogen-receptor positive breast cancer,initial,2017-04-20,GCST004362,Other measurement,estrone measurement,#3288bd
3899,African Am./Caribbean,52.0,28429243.0,Dudenkov TM,Plasma estrone levels in resected estrogen-receptor positive breast cancer,initial,2017-04-20,GCST004362,Other measurement,estrone measurement,#fee08b
3900,European,707.0,28429243.0,Dudenkov TM,Plasma estrone levels in resected estrogen-receptor positive breast cancer,initial,2017-04-20,GCST004362,Other measurement,estrone measurement,#d53e4f
3901,African Am./Caribbean,52.0,28429243.0,Dudenkov TM,Estrone/androstenedione ratio in resected early stage-receptor positive breast cancer,initial,2017-04-20,GCST004361,Other measurement,androstenedione measurement,#fee08b
3902,European,707.0,28429243.0,Dudenkov TM,Estrone/androstenedione ratio in resected early stage-receptor positive breast cancer,initial,2017-04-20,GCST004361,Other measurement,androstenedione measurement,#d53e4f
3903,Asian,15.0,28429243.0,Dudenkov TM,Estrone/androstenedione ratio in resected early stage-receptor positive breast cancer,initial,2017-04-20,GCST004361,Other measurement,androstenedione measurement,#3288bd
3904,African Am./Caribbean,52.0,28429243.0,Dudenkov TM,Estrone/androstenedione ratio in resected early stage-receptor positive breast cancer,initial,2017-04-20,GCST004361,Cancer,estrogen-receptor positive breast cancer,#fee08b
3905,European,707.0,28429243.0,Dudenkov TM,Estrone/androstenedione ratio in resected early stage-receptor positive breast cancer,initial,2017-04-20,GCST004361,Cancer,estrogen-receptor positive breast cancer,#d53e4f
3906,Asian,15.0,28429243.0,Dudenkov TM,Estrone/androstenedione ratio in resected early stage-receptor positive breast cancer,initial,2017-04-20,GCST004361,Cancer,estrogen-receptor positive breast cancer,#3288bd
3907,African Am./Caribbean,52.0,28429243.0,Dudenkov TM,Estrone/androstenedione ratio in resected early stage-receptor positive breast cancer,initial,2017-04-20,GCST004361,Other measurement,estrone measurement,#fee08b
3908,European,707.0,28429243.0,Dudenkov TM,Estrone/androstenedione ratio in resected early stage-receptor positive breast cancer,initial,2017-04-20,GCST004361,Other measurement,estrone measurement,#d53e4f
3909,Asian,15.0,28429243.0,Dudenkov TM,Estrone/androstenedione ratio in resected early stage-receptor positive breast cancer,initial,2017-04-20,GCST004361,Other measurement,estrone measurement,#3288bd
3910,Asian,922.0,28416812.0,Yang L,Executive inhibition (Stroop WIT and CIT) in attention deficit hyperactivity disorder,replication,2017-04-18,GCST004336,Neurological disorder,attention deficit hyperactivity disorder,#3288bd
3911,Asian,780.0,28416812.0,Yang L,Executive inhibition (Stroop WIT and CIT) in attention deficit hyperactivity disorder,initial,2017-04-18,GCST004336,Neurological disorder,attention deficit hyperactivity disorder,#3288bd
3912,Asian,922.0,28416812.0,Yang L,Executive inhibition (Stroop WIT and CIT) in attention deficit hyperactivity disorder,replication,2017-04-18,GCST004336,Other measurement,cognitive inhibition measurement,#3288bd
3913,Asian,780.0,28416812.0,Yang L,Executive inhibition (Stroop WIT and CIT) in attention deficit hyperactivity disorder,initial,2017-04-18,GCST004336,Other measurement,cognitive inhibition measurement,#3288bd
3914,European,251.0,28421636.0,Dennis J,Tissue factor pathway inhibitor levels,initial,2017-04-18,GCST004344,Other measurement,tissue factor pathway inhibitor measurement,#d53e4f
3915,European,1033.0,28421636.0,Dennis J,Tissue factor pathway inhibitor levels,replication,2017-04-18,GCST004344,Other measurement,tissue factor pathway inhibitor measurement,#d53e4f
3916,Asian,36792.0,28416822.0,Low SK,Atrial fibrillation,initial,2017-04-17,GCST004373,Cardiovascular disease,atrial fibrillation,#3288bd
3917,Asian,128184.0,28416822.0,Low SK,Atrial fibrillation,replication,2017-04-17,GCST004373,Cardiovascular disease,atrial fibrillation,#3288bd
3918,European,129712.0,28416822.0,Low SK,Atrial fibrillation,replication,2017-04-17,GCST004373,Cardiovascular disease,atrial fibrillation,#d53e4f
3919,European,111432.0,28416818.0,Christophersen IE,Prevalent atrial fibrillation,initial,2017-04-17,GCST004301,Cardiovascular disease,atrial fibrillation,#d53e4f
3920,European,110099.0,28416818.0,Christophersen IE,Incident atrial fibrillation,initial,2017-04-17,GCST004300,Cardiovascular disease,atrial fibrillation,#d53e4f
3921,Asian,4130.0,28416818.0,Christophersen IE,Atrial fibrillation,initial,2017-04-17,GCST004295,Cardiovascular disease,atrial fibrillation,#3288bd
3922,African Am./Caribbean,5875.0,28416818.0,Christophersen IE,Atrial fibrillation,initial,2017-04-17,GCST004295,Cardiovascular disease,atrial fibrillation,#fee08b
3923,Hispanic/Latin American,3358.0,28416818.0,Christophersen IE,Atrial fibrillation,initial,2017-04-17,GCST004295,Cardiovascular disease,atrial fibrillation,#807dba
3924,Asian,36792.0,28416818.0,Christophersen IE,Atrial fibrillation,replication,2017-04-17,GCST004295,Cardiovascular disease,atrial fibrillation,#3288bd
3925,European,118755.0,28416818.0,Christophersen IE,Atrial fibrillation,initial,2017-04-17,GCST004295,Cardiovascular disease,atrial fibrillation,#d53e4f
3926,African Am./Caribbean,889.0,28416818.0,Christophersen IE,Atrial fibrillation,replication,2017-04-17,GCST004299,Cardiovascular disease,atrial fibrillation,#fee08b
3927,African Am./Caribbean,5875.0,28416818.0,Christophersen IE,Atrial fibrillation,initial,2017-04-17,GCST004299,Cardiovascular disease,atrial fibrillation,#fee08b
3928,Asian,36792.0,28416818.0,Christophersen IE,Atrial fibrillation,replication,2017-04-17,GCST004298,Cardiovascular disease,atrial fibrillation,#3288bd
3929,Asian,4133.0,28416818.0,Christophersen IE,Atrial fibrillation,initial,2017-04-17,GCST004298,Cardiovascular disease,atrial fibrillation,#3288bd
3930,European,118755.0,28416818.0,Christophersen IE,Atrial fibrillation,initial,2017-04-17,GCST004297,Cardiovascular disease,atrial fibrillation,#d53e4f
3932,Hispanic/Latin American,3358.0,28416818.0,Christophersen IE,Atrial fibrillation,initial,2017-04-17,GCST004296,Cardiovascular disease,atrial fibrillation,#807dba
3933,African Am./Caribbean,5875.0,28416818.0,Christophersen IE,Atrial fibrillation,initial,2017-04-17,GCST004296,Cardiovascular disease,atrial fibrillation,#fee08b
3934,Asian,4130.0,28416818.0,Christophersen IE,Atrial fibrillation,initial,2017-04-17,GCST004296,Cardiovascular disease,atrial fibrillation,#3288bd
3935,European,118755.0,28416818.0,Christophersen IE,Atrial fibrillation,initial,2017-04-17,GCST004296,Cardiovascular disease,atrial fibrillation,#d53e4f
3937,European,1528.0,28375557.0,Thomsen H,Monoclonal gammopathy of undetermined significance,initial,2017-04-04,GCST004287,Other disease,monoclonal gammopathy,#d53e4f
3938,European,4942.0,28374850.0,Ellinghaus E,Chronic venous disease,initial,2017-04-04,GCST004343,Other trait,chronic venous insufficiency,#d53e4f
3939,European,5092.0,28374850.0,Ellinghaus E,Chronic venous disease,replication,2017-04-04,GCST004343,Other trait,chronic venous insufficiency,#d53e4f
3940,European,4942.0,28374850.0,Ellinghaus E,Chronic venous disease,initial,2017-04-04,GCST004343,Other trait,Varicose veins,#d53e4f
3941,European,5092.0,28374850.0,Ellinghaus E,Chronic venous disease,replication,2017-04-04,GCST004343,Other trait,Varicose veins,#d53e4f
3942,Other/Mixed,22.0,28235828.0,Traglia M,Midgestational circulating levels of organochlorine pesticides,initial,2017-04-03,GCST004281,Other measurement,gestational serum measurement,#99d594
3943,Hispanic/Latin American,329.0,28235828.0,Traglia M,Midgestational circulating levels of organochlorine pesticides,initial,2017-04-03,GCST004281,Other measurement,gestational serum measurement,#807dba
3944,European,273.0,28235828.0,Traglia M,Midgestational circulating levels of organochlorine pesticides,initial,2017-04-03,GCST004281,Other measurement,gestational serum measurement,#d53e4f
3945,Asian,122.0,28235828.0,Traglia M,Midgestational circulating levels of organochlorine pesticides,initial,2017-04-03,GCST004281,Other measurement,gestational serum measurement,#3288bd
3946,Asian,23.0,28235828.0,Traglia M,Midgestational circulating levels of organochlorine pesticides,initial,2017-04-03,GCST004281,Other measurement,gestational serum measurement,#3288bd
3947,African Am./Caribbean,21.0,28235828.0,Traglia M,Midgestational circulating levels of organochlorine pesticides,initial,2017-04-03,GCST004281,Other measurement,gestational serum measurement,#fee08b
3948,Other/Mixed,22.0,28235828.0,Traglia M,Midgestational circulating levels of organochlorine pesticides,initial,2017-04-03,GCST004281,Other measurement,organochlorine pesticide measurement,#99d594
3949,Hispanic/Latin American,329.0,28235828.0,Traglia M,Midgestational circulating levels of organochlorine pesticides,initial,2017-04-03,GCST004281,Other measurement,organochlorine pesticide measurement,#807dba
3950,European,273.0,28235828.0,Traglia M,Midgestational circulating levels of organochlorine pesticides,initial,2017-04-03,GCST004281,Other measurement,organochlorine pesticide measurement,#d53e4f
3951,Asian,122.0,28235828.0,Traglia M,Midgestational circulating levels of organochlorine pesticides,initial,2017-04-03,GCST004281,Other measurement,organochlorine pesticide measurement,#3288bd
3952,Asian,23.0,28235828.0,Traglia M,Midgestational circulating levels of organochlorine pesticides,initial,2017-04-03,GCST004281,Other measurement,organochlorine pesticide measurement,#3288bd
3953,African Am./Caribbean,21.0,28235828.0,Traglia M,Midgestational circulating levels of organochlorine pesticides,initial,2017-04-03,GCST004281,Other measurement,organochlorine pesticide measurement,#fee08b
3954,Hispanic/Latin American,329.0,28235828.0,Traglia M,Midgestational circulating levels of PCBs,initial,2017-04-03,GCST004283,Other measurement,polychlorinated biphenyls measurement,#807dba
3955,Asian,23.0,28235828.0,Traglia M,Midgestational circulating levels of PCBs,initial,2017-04-03,GCST004283,Other measurement,polychlorinated biphenyls measurement,#3288bd
3956,African Am./Caribbean,21.0,28235828.0,Traglia M,Midgestational circulating levels of PCBs,initial,2017-04-03,GCST004283,Other measurement,polychlorinated biphenyls measurement,#fee08b
