,Broader,N,PUBMEDID,AUTHOR,DiseaseOrTrait,STAGE,DATE,ACCESSION,parentterm,color
2065,Other/Mixed,2700.0,31211820.0,Deek R,High density lipoprotein cholesterol levels,initial,2019-06-18,GCST008444,Lipid or lipoprotein measurement,#99d594
2066,European,831.0,31206233.0,Real LM,Low susceptibility to hepatitis C infection,initial,2019-06-17,GCST008502,Other trait,#d53e4f
2067,European,371417.0,31263887.0,Adams MJ,Mental health study participation (provided email address),initial,2019-07-01,GCST008549,Other trait,#d53e4f
2068,European,935.0,31262040.0,Pujol-Moix N,Platelet reactivity measurement (collagen-ADP),initial,2019-06-30,GCST008458,Cardiovascular measurement,#d53e4f
2069,European,935.0,31262040.0,Pujol-Moix N,Platelet reactivity measurement (collagen-epinephrine),initial,2019-06-30,GCST008457,Cardiovascular measurement,#d53e4f
2070,Other/Mixed,1209.0,31299468.0,Condreay LD,Change in quality of life in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008292,Other disease,#99d594
2071,Other/Mixed,1209.0,31299468.0,Condreay LD,Change in quality of life in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008292,Other disease,#99d594
2072,Other/Mixed,1209.0,31299468.0,Condreay LD,Change in quality of life in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008292,Response to drug,#99d594
2073,Other/Mixed,1209.0,31299468.0,Condreay LD,Change in quality of life in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008292,Response to drug,#99d594
2074,Other/Mixed,1209.0,31299468.0,Condreay LD,Change in quality of life in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008292,Other measurement,#99d594
2075,Other/Mixed,1209.0,31299468.0,Condreay LD,Change in quality of life in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008292,Other measurement,#99d594
2076,Asian,1.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other disease,#3288bd
2077,European,1869.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other disease,#d53e4f
2079,Asian,33.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other disease,#3288bd
2080,Other/Mixed,7.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other disease,#99d594
2081,Other/Mixed,4.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other disease,#99d594
2082,Other/Mixed,3.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other disease,#99d594
2083,Asian,33.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other disease,#3288bd
2084,Asian,1.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Response to drug,#3288bd
2085,European,1869.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Response to drug,#d53e4f
2087,Asian,33.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Response to drug,#3288bd
2088,Other/Mixed,7.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Response to drug,#99d594
2089,Other/Mixed,4.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Response to drug,#99d594
2090,Other/Mixed,3.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Response to drug,#99d594
2091,Asian,33.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Response to drug,#3288bd
2092,Asian,1.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other measurement,#3288bd
2093,European,1869.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other measurement,#d53e4f
2095,Asian,33.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other measurement,#3288bd
2096,Other/Mixed,7.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other measurement,#99d594
2097,Other/Mixed,4.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other measurement,#99d594
2098,Other/Mixed,3.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other measurement,#99d594
2099,Asian,33.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other measurement,#3288bd
2100,Other/Mixed,1188.0,31299468.0,Condreay LD,Response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008294,Other disease,#99d594
2101,Other/Mixed,1188.0,31299468.0,Condreay LD,Response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008294,Other disease,#99d594
2102,Other/Mixed,1188.0,31299468.0,Condreay LD,Response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008294,Response to drug,#99d594
2103,Other/Mixed,1188.0,31299468.0,Condreay LD,Response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008294,Response to drug,#99d594
2104,Other/Mixed,1188.0,31299468.0,Condreay LD,Response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008294,Other measurement,#99d594
2105,Other/Mixed,1188.0,31299468.0,Condreay LD,Response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008294,Other measurement,#99d594
2106,Hispanic/Latin American,15124.0,31251759.0,Swenson BR,QRS duration,initial,2019-06-28,GCST008422,Cardiovascular measurement,#807dba
2107,European,2384.0,31246245.0,Khawaja AP,Corneal resistance factor,replication,2019-06-27,GCST008276,Other measurement,#d53e4f
2110,European,294.0,31163085.0,Sharapov SZ,N-glycan levels,replication,2019-06-15,GCST008108,Other measurement,#d53e4f
2111,Other/Mixed,327.0,31163085.0,Sharapov SZ,N-glycan levels,replication,2019-06-15,GCST008108,Other measurement,#99d594
2113,European,6378.0,31212010.0,Cabana-Dominguez J,Cocaine dependence,initial,2019-06-15,GCST008399,Neurological disorder,#d53e4f
2114,Hispanic/Latin American,396.0,31207883.0,Rivera-Paredez B,Serum uric acid levels,initial,2019-06-14,GCST008445,Cardiovascular measurement,#807dba
2115,Hispanic/Latin American,3693.0,31207883.0,Rivera-Paredez B,Serum uric acid levels,replication,2019-06-14,GCST008445,Cardiovascular measurement,#807dba
2116,European,666.0,31194736.0,Tiensuu H,Gestational age at birth (child effect),initial,2019-06-13,GCST008176,Other measurement,#d53e4f
2118,European,128.0,31220337.0,Carr DF,Statin-induced myopathy,initial,2019-06-20,GCST008552,Other disease,#d53e4f
2120,European,128.0,31220337.0,Carr DF,Statin-induced myopathy,initial,2019-06-20,GCST008552,Response to drug,#d53e4f
2122,European,32.0,31220337.0,Carr DF,Statin-induced myopathy (severe),initial,2019-06-20,GCST008553,Other disease,#d53e4f
2124,European,32.0,31220337.0,Carr DF,Statin-induced myopathy (severe),initial,2019-06-20,GCST008553,Response to drug,#d53e4f
2126,European,28.0,31220337.0,Carr DF,Atorvastatin-induced myopathy,initial,2019-06-20,GCST008554,Response to drug,#d53e4f
2128,European,28.0,31220337.0,Carr DF,Atorvastatin-induced myopathy,initial,2019-06-20,GCST008554,Other disease,#d53e4f
2129,European,2384.0,31246245.0,Khawaja AP,Corneal hysteresis,replication,2019-06-27,GCST008277,Other measurement,#d53e4f
2131,Asian,5152.0,31152121.0,Zhu M,Type 1 diabetes,replication,2019-05-31,GCST008377,Metabolic disorder,#3288bd
2132,Asian,2262.0,31152121.0,Zhu M,Type 1 diabetes,initial,2019-05-31,GCST008377,Metabolic disorder,#3288bd
2133,African Am./Caribbean,9013.0,31178898.0,Lin BM,End-stage kidney disease,initial,2019-05-24,GCST008395,Other disease,#fee08b
2134,Hispanic/Latin American,16134.0,31178898.0,Lin BM,End-stage kidney disease,initial,2019-05-24,GCST008395,Other disease,#807dba
2135,Asian,3648.0,31178898.0,Lin BM,End-stage kidney disease,initial,2019-05-24,GCST008395,Other disease,#3288bd
2136,Other/Mixed,50.0,31178898.0,Lin BM,End-stage kidney disease,initial,2019-05-24,GCST008395,Other disease,#99d594
2137,Other/Mixed,966.0,31178898.0,Lin BM,End-stage kidney disease,initial,2019-05-24,GCST008395,Other disease,#99d594
2138,Other/Mixed,2988.0,31178898.0,Lin BM,End-stage kidney disease,initial,2019-05-24,GCST008395,Other disease,#99d594
2139,European,5168.0,31127053.0,Tang Y,Diabetic peripheral neuropathy in type 2 diabetes,initial,2019-05-24,GCST008223,Metabolic disorder,#d53e4f
2140,African Am./Caribbean,1345.0,31127053.0,Tang Y,Diabetic peripheral neuropathy in type 2 diabetes,replication,2019-05-24,GCST008223,Metabolic disorder,#fee08b
2141,European,949.0,31127053.0,Tang Y,Diabetic peripheral neuropathy in type 2 diabetes,replication,2019-05-24,GCST008223,Metabolic disorder,#d53e4f
2142,European,5168.0,31127053.0,Tang Y,Diabetic peripheral neuropathy in type 2 diabetes,initial,2019-05-24,GCST008223,Neurological disorder,#d53e4f
2143,African Am./Caribbean,1345.0,31127053.0,Tang Y,Diabetic peripheral neuropathy in type 2 diabetes,replication,2019-05-24,GCST008223,Neurological disorder,#fee08b
2144,European,949.0,31127053.0,Tang Y,Diabetic peripheral neuropathy in type 2 diabetes,replication,2019-05-24,GCST008223,Neurological disorder,#d53e4f
2145,Other/Mixed,993.0,31178898.0,Lin BM,Mild to moderate chronic kidney disease,initial,2019-05-24,GCST008394,Other disease,#99d594
2146,Other/Mixed,637.0,31178898.0,Lin BM,Mild to moderate chronic kidney disease,initial,2019-05-24,GCST008394,Other disease,#99d594
2147,Asian,4115.0,31178898.0,Lin BM,Mild to moderate chronic kidney disease,initial,2019-05-24,GCST008394,Other disease,#3288bd
2148,Other/Mixed,3500.0,31178898.0,Lin BM,Mild to moderate chronic kidney disease,initial,2019-05-24,GCST008394,Other disease,#99d594
2149,African Am./Caribbean,15293.0,31178898.0,Lin BM,Mild to moderate chronic kidney disease,initial,2019-05-24,GCST008394,Other disease,#fee08b
2150,Hispanic/Latin American,20653.0,31178898.0,Lin BM,Mild to moderate chronic kidney disease,initial,2019-05-24,GCST008394,Other disease,#807dba
2151,European,935.0,31120506.0,Grassmann F,Geographic atrophy lesion growth rate in age-related macular degeneration,initial,2019-05-23,GCST008356,Other measurement,#d53e4f
2152,European,935.0,31120506.0,Grassmann F,Geographic atrophy lesion growth rate in age-related macular degeneration,initial,2019-05-23,GCST008356,Neurological disorder,#d53e4f
2155,European,972.0,31123309.0,Rayner C,Response to cognitive-behavioural therapy in anxiety disorder,initial,2019-05-23,GCST008360,Other trait,#d53e4f
2156,European,972.0,31123309.0,Rayner C,Response to cognitive-behavioural therapy in anxiety disorder,initial,2019-05-23,GCST008360,Neurological disorder,#d53e4f
2160,European,972.0,31123309.0,Rayner C,Response to cognitive-behavioural therapy in anxiety and major depressive disorders,initial,2019-05-23,GCST008358,Other trait,#d53e4f
2162,European,972.0,31123309.0,Rayner C,Response to cognitive-behavioural therapy in anxiety and major depressive disorders,initial,2019-05-23,GCST008358,Neurological disorder,#d53e4f
2163,Asian,318.0,31109976.0,Suvichapanich S,Liver injury in anti-tuberculosis drug treatment,initial,2019-05-20,GCST007897,Response to drug,#3288bd
2164,Asian,318.0,31109976.0,Suvichapanich S,Liver injury in anti-tuberculosis drug treatment,initial,2019-05-20,GCST007897,Other disease,#3288bd
2165,Asian,318.0,31109976.0,Suvichapanich S,Liver injury in anti-tuberculosis drug treatment,initial,2019-05-20,GCST007897,Digestive system disorder,#3288bd
2166,European,1609.0,31102405.0,Labreche K,Primary central nervous system lymphoma,initial,2019-05-17,GCST007896,Cancer,#d53e4f
2167,European,3379.0,31095341.0,Kerns SL,Toxicity response to radiotherapy in prostate cancer (rectal bleeding) (time to event),initial,2019-05-16,GCST008381,Cancer,#d53e4f
2168,European,3379.0,31095341.0,Kerns SL,Toxicity response to radiotherapy in prostate cancer (rectal bleeding) (time to event),initial,2019-05-16,GCST008381,Biological process,#d53e4f
2169,European,3379.0,31095341.0,Kerns SL,Toxicity response to radiotherapy in prostate cancer (rectal bleeding) (time to event),initial,2019-05-16,GCST008381,Other trait,#d53e4f
2170,European,3782.0,31095341.0,Kerns SL,Toxicity response to radiotherapy in prostate cancer (increased urinary frequency) (time to event),initial,2019-05-16,GCST008382,Cancer,#d53e4f
2171,European,3782.0,31095341.0,Kerns SL,Toxicity response to radiotherapy in prostate cancer (increased urinary frequency) (time to event),initial,2019-05-16,GCST008382,Biological process,#d53e4f
2172,European,3782.0,31095341.0,Kerns SL,Toxicity response to radiotherapy in prostate cancer (increased urinary frequency) (time to event),initial,2019-05-16,GCST008382,Other trait,#d53e4f
2173,European,3871.0,31095341.0,Kerns SL,Response to radiotherapy in prostate cancer (overall toxicity),initial,2019-05-16,GCST008379,Cancer,#d53e4f
2174,European,3871.0,31095341.0,Kerns SL,Response to radiotherapy in prostate cancer (overall toxicity),initial,2019-05-16,GCST008379,Biological process,#d53e4f
2175,European,3871.0,31095341.0,Kerns SL,Response to radiotherapy in prostate cancer (overall toxicity),initial,2019-05-16,GCST008379,Other disease,#d53e4f
2176,Asian,538.0,31095341.0,Kerns SL,Toxicity response to radiotherapy in prostate cancer (hematuria) (time to event),replication,2019-05-16,GCST008380,Cancer,#3288bd
2177,European,3619.0,31095341.0,Kerns SL,Toxicity response to radiotherapy in prostate cancer (hematuria) (time to event),initial,2019-05-16,GCST008380,Cancer,#d53e4f
2178,Asian,538.0,31095341.0,Kerns SL,Toxicity response to radiotherapy in prostate cancer (hematuria) (time to event),replication,2019-05-16,GCST008380,Other trait,#3288bd
2179,European,3619.0,31095341.0,Kerns SL,Toxicity response to radiotherapy in prostate cancer (hematuria) (time to event),initial,2019-05-16,GCST008380,Other trait,#d53e4f
2180,Asian,538.0,31095341.0,Kerns SL,Toxicity response to radiotherapy in prostate cancer (hematuria) (time to event),replication,2019-05-16,GCST008380,Biological process,#3288bd
2181,European,3619.0,31095341.0,Kerns SL,Toxicity response to radiotherapy in prostate cancer (hematuria) (time to event),initial,2019-05-16,GCST008380,Biological process,#d53e4f
2182,European,3470.0,31095341.0,Kerns SL,Toxicity response to radiotherapy in prostate cancer (decreased urine stream) (time to event),initial,2019-05-16,GCST008378,Cancer,#d53e4f
2183,European,3470.0,31095341.0,Kerns SL,Toxicity response to radiotherapy in prostate cancer (decreased urine stream) (time to event),initial,2019-05-16,GCST008378,Biological process,#d53e4f
2184,European,3470.0,31095341.0,Kerns SL,Toxicity response to radiotherapy in prostate cancer (decreased urine stream) (time to event),initial,2019-05-16,GCST008378,Other trait,#d53e4f
2185,African Am./Caribbean,10409.0,31092297.0,Guan M,Type 2 diabetes and end-stage kidney disease,initial,2019-05-15,GCST007949,Metabolic disorder,#fee08b
2186,African Am./Caribbean,8827.0,31092297.0,Guan M,Type 2 diabetes and end-stage kidney disease in APOL1 risk genotype negative individuals,initial,2019-05-15,GCST007950,Metabolic disorder,#fee08b
2187,African Am./Caribbean,8827.0,31092297.0,Guan M,Type 2 diabetes and end-stage kidney disease in APOL1 risk genotype negative individuals,initial,2019-05-15,GCST007950,Other measurement,#fee08b
2188,European,92967.0,31089142.0,Law PJ,Colorectal cancer,initial,2019-05-14,GCST007992,Cancer,#d53e4f
2189,European,31880.0,31116379.0,Meier SM,Anxiety and stress-related disorders,initial,2019-05-22,GCST008559,Neurological disorder,#d53e4f
2190,European,23198.0,31116379.0,Meier SM,Anxiety and stress-related disorders (propensity-score-matching design),initial,2019-05-22,GCST008560,Neurological disorder,#d53e4f
2191,European,54311.0,31116379.0,Meier SM,Anxiety and stress-related disorders (psychiatric co-morbidity covariate model),initial,2019-05-22,GCST008561,Neurological disorder,#d53e4f
2192,European,29536.0,31116379.0,Meier SM,Anxiety and stress-related disorders (psychiatric co-morbidity weighting design),initial,2019-05-22,GCST008562,Neurological disorder,#d53e4f
2193,European,32758.0,31116379.0,Meier SM,Anxiety and stress-related disorders (including obsessive-compulsive disorder),initial,2019-05-22,GCST008563,Neurological disorder,#d53e4f
2194,European,30785.0,31116379.0,Meier SM,Anxiety and stress-related disorders (excluding co-morbid schizophrenia),initial,2019-05-22,GCST008564,Neurological disorder,#d53e4f
2195,European,27742.0,31116379.0,Meier SM,Anxiety and stress-related disorders (excluding adjustment disorder),initial,2019-05-22,GCST008565,Neurological disorder,#d53e4f
2196,European,23809.0,31116379.0,Meier SM,Anxiety disorders,initial,2019-05-22,GCST008566,Neurological disorder,#d53e4f
2197,European,29056.0,31116379.0,Meier SM,Stress-related disorders,initial,2019-05-22,GCST008567,Neurological disorder,#d53e4f
2198,African Am./Caribbean,520.0,31113495.0,Evans KL,Heart rate in heart failure with reduced ejection fraction,initial,2019-05-21,GCST007999,Other trait,#fee08b
2199,European,523.0,31113495.0,Evans KL,Heart rate in heart failure with reduced ejection fraction,initial,2019-05-21,GCST007999,Other trait,#d53e4f
2200,African Am./Caribbean,520.0,31113495.0,Evans KL,Heart rate in heart failure with reduced ejection fraction,initial,2019-05-21,GCST007999,Cardiovascular measurement,#fee08b
2201,European,523.0,31113495.0,Evans KL,Heart rate in heart failure with reduced ejection fraction,initial,2019-05-21,GCST007999,Cardiovascular measurement,#d53e4f
2202,African Am./Caribbean,520.0,31113495.0,Evans KL,Heart rate in heart failure with reduced ejection fraction,initial,2019-05-21,GCST007999,Cardiovascular disease,#fee08b
2203,European,523.0,31113495.0,Evans KL,Heart rate in heart failure with reduced ejection fraction,initial,2019-05-21,GCST007999,Cardiovascular disease,#d53e4f
2204,Other/Mixed,2.0,31155012.0,Nakahara S,Dentate gyrus volume x schizophrenia interaction,initial,2019-06-03,GCST008557,Neurological disorder,#99d594
2205,Asian,31.0,31155012.0,Nakahara S,Dentate gyrus volume x schizophrenia interaction,initial,2019-06-03,GCST008557,Neurological disorder,#3288bd
2207,European,199.0,31155012.0,Nakahara S,Dentate gyrus volume x schizophrenia interaction,initial,2019-06-03,GCST008557,Neurological disorder,#d53e4f
2208,Other/Mixed,3.0,31155012.0,Nakahara S,Dentate gyrus volume x schizophrenia interaction,initial,2019-06-03,GCST008557,Neurological disorder,#99d594
2209,Other/Mixed,2.0,31155012.0,Nakahara S,Dentate gyrus volume x schizophrenia interaction,initial,2019-06-03,GCST008557,Other measurement,#99d594
2210,Asian,31.0,31155012.0,Nakahara S,Dentate gyrus volume x schizophrenia interaction,initial,2019-06-03,GCST008557,Other measurement,#3288bd
2212,European,199.0,31155012.0,Nakahara S,Dentate gyrus volume x schizophrenia interaction,initial,2019-06-03,GCST008557,Other measurement,#d53e4f
2213,Other/Mixed,3.0,31155012.0,Nakahara S,Dentate gyrus volume x schizophrenia interaction,initial,2019-06-03,GCST008557,Other measurement,#99d594
2215,Other/Mixed,3.0,31155012.0,Nakahara S,Dentate gyrus volume,initial,2019-06-03,GCST008558,Other measurement,#99d594
2216,European,199.0,31155012.0,Nakahara S,Dentate gyrus volume,initial,2019-06-03,GCST008558,Other measurement,#d53e4f
2217,Other/Mixed,2.0,31155012.0,Nakahara S,Dentate gyrus volume,initial,2019-06-03,GCST008558,Other measurement,#99d594
2218,Asian,31.0,31155012.0,Nakahara S,Dentate gyrus volume,initial,2019-06-03,GCST008558,Other measurement,#3288bd
2219,European,73302.0,31249589.0,Edwards TL,Uterine fibroids,initial,2019-06-12,GCST008423,Cancer,#d53e4f
2221,European,150588.0,31249589.0,Edwards TL,Uterine fibroids,replication,2019-06-12,GCST008423,Cancer,#d53e4f
2222,African,3192.0,31249589.0,Edwards TL,Uterine fibroids,replication,2019-06-12,GCST008423,Cancer,#fc8d59
2223,Asian,1402.0,31186284.0,Liu Y,Lipoprotein (a) levels in coronary artery disease (percutaneous coronary intervention),initial,2019-06-11,GCST008433,Lipid or lipoprotein measurement,#3288bd
2224,Asian,1402.0,31186284.0,Liu Y,Lipoprotein (a) levels in coronary artery disease (percutaneous coronary intervention),initial,2019-06-11,GCST008433,Cardiovascular disease,#3288bd
2226,European,7611.0,31188284.0,Bae H,Age at menopause,initial,2019-06-10,GCST008149,Other measurement,#d53e4f
2227,European,5052.0,31090166.0,Lai D,Alcohol dependence (drinking despite problems),replication,2019-05-14,GCST008291,Other measurement,#d53e4f
2228,European,7307.0,31090166.0,Lai D,Alcohol dependence (drinking despite problems),initial,2019-05-14,GCST008291,Other measurement,#d53e4f
2229,African Am./Caribbean,3135.0,31090166.0,Lai D,Alcohol dependence (drinking despite problems),initial,2019-05-14,GCST008291,Other measurement,#fee08b
2230,African Am./Caribbean,2939.0,31090166.0,Lai D,Alcohol dependence (drinking despite problems),replication,2019-05-14,GCST008291,Other measurement,#fee08b
2231,European,7309.0,31090166.0,Lai D,Alcohol dependence (time spent drinking),initial,2019-05-14,GCST008290,Other measurement,#d53e4f
2232,African Am./Caribbean,3136.0,31090166.0,Lai D,Alcohol dependence (time spent drinking),initial,2019-05-14,GCST008290,Other measurement,#fee08b
2233,European,5053.0,31090166.0,Lai D,Alcohol dependence (time spent drinking),replication,2019-05-14,GCST008290,Other measurement,#d53e4f
2234,African Am./Caribbean,2940.0,31090166.0,Lai D,Alcohol dependence (time spent drinking),replication,2019-05-14,GCST008290,Other measurement,#fee08b
2235,African Am./Caribbean,2940.0,31090166.0,Lai D,Alcohol dependence (giving up activities),replication,2019-05-14,GCST008289,Other measurement,#fee08b
2236,European,7308.0,31090166.0,Lai D,Alcohol dependence (giving up activities),initial,2019-05-14,GCST008289,Other measurement,#d53e4f
2237,European,5053.0,31090166.0,Lai D,Alcohol dependence (giving up activities),replication,2019-05-14,GCST008289,Other measurement,#d53e4f
2238,African Am./Caribbean,3136.0,31090166.0,Lai D,Alcohol dependence (giving up activities),initial,2019-05-14,GCST008289,Other measurement,#fee08b
2239,European,5053.0,31090166.0,Lai D,Alcohol dependence (desire to cut drinking),replication,2019-05-14,GCST008288,Other measurement,#d53e4f
2240,African Am./Caribbean,3137.0,31090166.0,Lai D,Alcohol dependence (desire to cut drinking),initial,2019-05-14,GCST008288,Other measurement,#fee08b
2241,African Am./Caribbean,2940.0,31090166.0,Lai D,Alcohol dependence (desire to cut drinking),replication,2019-05-14,GCST008288,Other measurement,#fee08b
2242,European,7309.0,31090166.0,Lai D,Alcohol dependence (desire to cut drinking),initial,2019-05-14,GCST008288,Other measurement,#d53e4f
2243,European,5050.0,31090166.0,Lai D,Alcohol dependence (drinking more than intended),replication,2019-05-14,GCST008287,Other measurement,#d53e4f
2244,African Am./Caribbean,2938.0,31090166.0,Lai D,Alcohol dependence (drinking more than intended),replication,2019-05-14,GCST008287,Other measurement,#fee08b
2245,European,7306.0,31090166.0,Lai D,Alcohol dependence (drinking more than intended),initial,2019-05-14,GCST008287,Other measurement,#d53e4f
2246,African Am./Caribbean,3134.0,31090166.0,Lai D,Alcohol dependence (drinking more than intended),initial,2019-05-14,GCST008287,Other measurement,#fee08b
2247,European,7305.0,31090166.0,Lai D,Alcohol dependence (withdrawal),initial,2019-05-14,GCST008286,Other measurement,#d53e4f
2248,African Am./Caribbean,3130.0,31090166.0,Lai D,Alcohol dependence (withdrawal),initial,2019-05-14,GCST008286,Other measurement,#fee08b
2249,European,5053.0,31090166.0,Lai D,Alcohol dependence (withdrawal),replication,2019-05-14,GCST008286,Other measurement,#d53e4f
2250,African Am./Caribbean,2940.0,31090166.0,Lai D,Alcohol dependence (withdrawal),replication,2019-05-14,GCST008286,Other measurement,#fee08b
2251,African Am./Caribbean,3134.0,31090166.0,Lai D,Alcohol dependence (tolerance),initial,2019-05-14,GCST008285,Other measurement,#fee08b
2252,European,5052.0,31090166.0,Lai D,Alcohol dependence (tolerance),replication,2019-05-14,GCST008285,Other measurement,#d53e4f
2253,European,7306.0,31090166.0,Lai D,Alcohol dependence (tolerance),initial,2019-05-14,GCST008285,Other measurement,#d53e4f
2254,African Am./Caribbean,2940.0,31090166.0,Lai D,Alcohol dependence (tolerance),replication,2019-05-14,GCST008285,Other measurement,#fee08b
2255,European,7418.0,31090166.0,Lai D,Alcohol dependence symptom count,initial,2019-05-14,GCST008283,Other measurement,#d53e4f
2256,African Am./Caribbean,2940.0,31090166.0,Lai D,Alcohol dependence symptom count,replication,2019-05-14,GCST008283,Other measurement,#fee08b
2257,European,5053.0,31090166.0,Lai D,Alcohol dependence symptom count,replication,2019-05-14,GCST008283,Other measurement,#d53e4f
2258,African Am./Caribbean,3175.0,31090166.0,Lai D,Alcohol dependence symptom count,initial,2019-05-14,GCST008283,Other measurement,#fee08b
2259,Asian,651.0,31089239.0,Choe EK,Right-sided colonic diverticulosis,replication,2019-05-14,GCST007921,Other trait,#3288bd
2260,Asian,1968.0,31089239.0,Choe EK,Right-sided colonic diverticulosis,initial,2019-05-14,GCST007921,Other trait,#3288bd
2261,African Am./Caribbean,1831.0,31090166.0,Lai D,Alcohol dependence,initial,2019-05-14,GCST008284,Other measurement,#fee08b
2262,European,4244.0,31090166.0,Lai D,Alcohol dependence,replication,2019-05-14,GCST008284,Other measurement,#d53e4f
2263,European,4849.0,31090166.0,Lai D,Alcohol dependence,initial,2019-05-14,GCST008284,Other measurement,#d53e4f
2264,African Am./Caribbean,2726.0,31090166.0,Lai D,Alcohol dependence,replication,2019-05-14,GCST008284,Other measurement,#fee08b
2265,African Am./Caribbean,1831.0,31090166.0,Lai D,Alcohol dependence,initial,2019-05-14,GCST008284,Neurological disorder,#fee08b
2266,European,4244.0,31090166.0,Lai D,Alcohol dependence,replication,2019-05-14,GCST008284,Neurological disorder,#d53e4f
2267,European,4849.0,31090166.0,Lai D,Alcohol dependence,initial,2019-05-14,GCST008284,Neurological disorder,#d53e4f
2268,African Am./Caribbean,2726.0,31090166.0,Lai D,Alcohol dependence,replication,2019-05-14,GCST008284,Neurological disorder,#fee08b
2269,Asian,6337.0,31171785.0,Dorajoo R,Leukocyte telomere length,replication,2019-06-06,GCST008366,Other measurement,#3288bd
2270,Asian,16759.0,31171785.0,Dorajoo R,Leukocyte telomere length,initial,2019-06-06,GCST008366,Other measurement,#3288bd
2271,European,37505.0,31171785.0,Dorajoo R,Leukocyte telomere length,replication,2019-06-06,GCST008366,Other measurement,#d53e4f
